,Creator(s),First public release date,Latest stable version,Cost (USD),Software license
7-Zip,Igor Pavlov,,18.05,,
ALZip,ESTsoft,(as a WinZip translation),,,
ALZip for Mac,ESTsoft,(as a WinZip translation),,,
Archive Manager,Paolo Bacchilega,,,
Archive Utility,Apple Inc.,,,,
Ark,KDE team,1997,15.12.3,,
B1 Free Archiver,Adam Buyer,,1.5.86,,
BetterZip,BetterZip,,,,
Commander One,Eltima Software,,1.1,,
Compressed Folders,Microsoft Inc.,,Windows 8.1,,
CRAX Commander,Soft4U2,,1.10.9,,
Disk ARchiver,Denis Corbin,,2.5.14,,
Expander,Haiku  Inc.,,,,
Filzip,Philipp Engel,,,,
FreeArc,Bulat Ziganshin,v0.36,0.666 (),,
iArchiver,Dare to be Creative Ltd.,,1.4.1,,
Info-ZIP (Wzip),Samuel Smith,,6.0,,
KGB Archiver,Tomasz Pawlak,,1.2.1.24,,
PeaZip,Giorgio Tani,,6.6.1,,
PKZIP,Phil Katz,,12.4<ref></ref> (ca. ),,
PowerArchiver,ConexWare,,17.01.04,,
StuffIt,Smith Micro Software,,15.0.7 <ref></ref>,</ref> $79.99 French Deluxe;<ref></ref> Windows: $14.99 Standard <ref></ref> $29.99 Deluxe <ref></ref> $49.99 French (or German) Deluxe<ref></ref><ref></ref>}},
TAR,AT&T,,GNU tar: ; star: 1.5.3; BSD tar: 2.6.0,,
The Unarchiver,Circlesoft,,3.11.3,,
Terse,IBM,,,,
TUGZip,Christian Kindahl,,3.5.0.0,,
WinAce,e-merge GmbH,,2.69,,
WinRAR,Eugene Roshal / Alexander Roshal,,,</ref>}},
WinZip,WinZip Computing  Inc,,,,
XAD a.k.a. XADMaster.library,Dirk Stoecker,,13.1,,
Xarchiver,Giuseppe Torelli,,0.5.4,,
ZipGenius,Matteo Riso of M.Dev Software,,6.3.2.3112,,
,Creator(s),First public release date,Latest stable version,Cost (USD),Software license
