,Data compression,Shell integration,Password protection,Multiple volumes,Self extraction,File repairing,Batch conversion,Unicode file /<br />directory names,Encryption,Filename Encryption
7-Zip,,,,,,,,,,
ALZip,,,,,,,,,,
Archive Manager,,,,,,,,,,
Archive Utility,,,,,,,,,,
ARJ,,,,,,,,,,
Ark,,,,,,,,,,
B1 Free Archiver,,,,,,,,,,
BetterZip,,,,,,,,,,
bsdtar/libarchive,,,,,,,,,,
Commander One,,,,,,,,,,for 7z
CRAX Commander,,,,,,,,,,
Disk ARchiver,,,,,,,,,,
Filzip,,,,,,,,,,
FreeArc,,,,,,,,,,
GNU tar,,,,,,Separate,,,,
iArchiver,,,,,,,,,,
Info-ZIP,,,,,,,,,Weak,
KGB Archiver,,Not enabled by default,,,,,,,,
PeaZip,,,,,,,,,,
PKZIP,,,,,Separate,Separate,,,,
PowerArchiver,,,,,,,,,,
StuffIt,,,,,,,,,,
The Unarchiver,,some formats,,,,,,,,
TUGZip,,,,,,,,,,
WinAce,,,,,,,,,,
WinRAR and RAR,,,,,,,,,,
WinZip,,,,,,,,,,
XAD,,,,,,,,,,
Xarchiver,,,,,,,,,,
ZipGenius,,,,,,,,,,
,Data compression,Shell integration,Password protection,Multiple volumes,Self extraction,File repairing,Batch conversion,Unicode file /<br />directory names,Encryption,Filename Encryption
