Name,Operating system,Freeware version,Portable,Encrypts files,Detect conflict,File lock,Open file support,Revision control,Detect rename,Detect move,Full duplex transfer,Propagate deletes,Case sensitive,Delta copying (block level transfer),LAN Sync,Event Driven,Vault,Virtual Disk
@MAX SyncUp,Windows,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added],[added],[added],[added]
Allway Sync,Windows,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added],[added],[added],[added]
AIMstor (discontinued),Windows,[empty],[empty],[empty],[empty],[empty],[empty],through VSS,[empty],[empty],[empty],[empty],[empty],[empty],[added],[added],[added],[added]
Argentum Backup,Windows,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added],[added],[added],[added]
BackupAssist,Windows,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added],[added],[added],[added]
Backup4all,Windows,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added],[added],[added],[added]
BatchSync,Windows,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added],[added],[added],[added]
Box Sync,Windows <ref name="Box Sync browser and OS support"></ref> OS X <ref name="Box Sync browser and OS support" /> Android  BlackBerry  iOS<ref name="Box Sync browser and OS support" />,[empty],[empty],[empty],[empty],?,?,[empty],?,?,?,[empty],?,[empty],[added],[added],[added],[added]
Carbon Copy Cloner,OS X,[empty],[empty],[empty],[empty],[empty],(only with APFS),[empty],<ref name="Bombich 1"></ref>,<ref name="Bombich 1" />,[empty],[empty],[empty],[empty],[added],[added],[added],[added]
ChronoSync,OS X,[empty],[empty],[empty],[empty],[empty],(only with APFS),[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added],[added],[added],[added]
Cloudike,Windows  OS X  iPhone  Android,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added],[added],[added],[added]
CloudMe,Windows  OS X  Linux  iPhone  Android  Google TV  Samsung TV,[empty],[empty],[empty],[empty],?,?,[empty],[empty],[empty],?,?,[empty],?,[added],[added],[added],[added]
