File system,Maximum filename length,name=note-25 |These are the restrictions imposed by the on-disk directory entry structures themselves. Particular Installable File System drivers may place restrictions of their own on file and directory names; operating systems may also place restrictions of their own  across all filesystems. DOS  Windows  and OS/2 allow only the following characters from the current 8-bit OEM codepage in SFNs: A-Z  0-9  characters ! # $ % & ' ( ) - @ ^ _ ` { } ~  as well as 0x80-0xFF and 0x20 (SPACE). Specifically  lowercase letters a-z  characters " * / : < > ? \ | +   . ; = [ ]  control codes 0x00-0x1F  0x7F and in some cases also 0xE5 are not allowed.) In LFNs  any UCS-2 Unicode except \ / : ? * " &gt; &lt; | and NUL are allowed in file and directory names across all filesystems. Unix-like systems disallow the characters / and NUL in file and directory names across all filesystems.}},Maximum pathname length,Maximum file size,Maximum volume size,Max number of files
BeeGFS,255 bytes,Any byte except NUL,No limit defined,16 EiB,16 EiB,
CP/M file system,8.3,ASCII except for &lt; &gt; .   ; : = ? * [ ],No directory hierarchy (but accessibility of files depends on user areas via USER command since CP/M 2.2),32 MiB,512 MiB,
IBM SFS,8.8,,,Non-hierarchical<ref></ref>,data-sort-type="number" data-sort-value="0",
DECtape,6.3,A–Z  0–9,DTxN:FILNAM.EXT = 15,369.280 bytes (577 * 640),369.920 bytes (578 * 640),
Elektronika BK tape format,16 bytes,,No directory hierarchy,64 KiB,Not limited. Approx. 800KB (one side) for 90 min cassette,
MicroDOS file system,14 bytes,,,16 MiB,32 MiB,
Level-D,6.3,A–Z  0–9,DEVICE:FILNAM.EXT[PROJCT PROGRM] = 7 + 10 + 15 = 32; + 5*7 for SFDs = 67,34.359.738.368 words (2**35-1); 206.158.430.208 SIXBIT bytes,Approx 12 GB (64 * 178 MB),
RT-11,6.3,A–Z  0–9  $,0 (no directory hierarchy),33.554.432 bytes (65536 * 512),33.554.432 bytes,
Version 6 Unix file system (V6FS),14 bytes,Any byte except NUL and /,No limit defined,16 MiB,32 MiB,
Disk Operating System (GEC DOS),,,,data-sort-type="number" data-sort-value="0" at least 131.072 bytes,data-sort-type="number" data-sort-value="0",
GEC DOS filing system extended,8 bytes,A–Z  0–9. Period was directory separator,No limit defined (workaround for OS limit),data-sort-type="number" data-sort-value="0" at least 131.072 bytes,data-sort-type="number" data-sort-value="0",
CBM DOS,16 bytes,Any byte except NUL,0 (no directory hierarchy),16 MiB,16 MiB,
Version 7 Unix file system (V7FS),14 bytes,Any byte except NUL or /,No limit defined,1 GiB,2 TiB,
exFAT,255 UTF-16 characters,,32.760 Unicode characters with each path component no more than 255 characters<ref name="msdn-FS-functionality"></ref>,16 EiB<ref name="msdn-FS-functionality" />,64 ZiB (276 bytes),
FAT (8-bit),6.3 (binary files) / 9 characters (ASCII files),ASCII (0x00 and 0xFF not allowed in first character),No directory hierarchy,data-sort-type="number" data-sort-value="0",data-sort-type="number" data-sort-value="0",
FAT12/FAT16,8.3 (255 UCS-2 characters with LFN),SFN: OEM A-Z  0-9  ! # $ % & ' ( ) - @ ^ _ ` { } ~  0x80-0xFF  0x20. LFN: Unicode except NUL  " * / : < > ? \ |,No limit defined,32 MiB (4 GiB),1 MiB to 32 MiB,
FAT16B/FAT16X,8.3 (255 UCS-2 characters with LFN),SFN: OEM A-Z  0-9  ! # $ % & ' ( ) - @ ^ _ ` { } ~  0x80-0xFF  0x20. LFN: Unicode except NUL  " * / : < > ? \ |,No limit defined,2 (4) GiB,16 MiB to 2 (4) GiB,
FAT32/FAT32X,8.3 (255 UCS-2 characters with LFN),SFN: OEM A-Z  0-9  ! # $ % & ' ( ) - @ ^ _ ` { } ~  0x80-0xFF  0x20. LFN: Unicode except NUL  " * / : < > ? \ |,32.760 Unicode characters with each path component no more than 255 characters<ref name="msdn-FS-functionality" />,4 GiB<ref name="msdn-FS-functionality" />,512 MiB to 16 TiB</ref>}},
FATX,42 bytes,ASCII. Unicode not permitted.,No limit defined,2 GiB,16 MiB to 2 GiB,
Fossil,,,,data-sort-type="number" data-sort-value="0",data-sort-type="number" data-sort-value="0",
GEMDOS,8.3,[ ] ( ) _</nowiki><ref></ref>,,,,
