File system,Stores file owner,POSIX file permissions,Creation timestamps,Last access/ read timestamps,Last metadata change timestamps,Last archive timestamps,Access control lists,Security/ MAC labels,Extended attributes/ Alternate data streams/ forks,Checksum/ ECC
BeeGFS,,,,,,,,,,
CP/M file system,,,,,,,,,,
DECtape<ref></ref>,,,,,,,,,,
Elektronika BK tape format,,,,,,,,,,
Level-D,,,,,,,,,,
RT-11<ref></ref>,,,(date only),,,,,,,
Version 6 Unix file system (V6FS)<ref name="Unixv6"></ref>,,,,,,,,,,
Version 7 Unix file system (V7FS)<ref name="Unixv7">See dinode structure on page 355 (FILESYS(5)) of </ref>,,,,,,,,,,
FAT12/FAT16/FAT32,,,,,,,,,,
HPFS,,,,,,,,,,
NTFS,,,,,,,,</ref>}},,
ReFS,,,,,,,,,,
HFS,,,,,,,,,,
HFS Plus,,,,,,,,,,
FFS,,,,,,,,,,
UFS1,,,,,,,,,,
UFS2,,,,,,,,,,
HAMMER,,,,,,,,,,
LFS,,,,,,,,,,
ext,,,,,,,,,,
Xiafs,,,,,,,,,,
ext2,,,,,,,,,,
ext3,,,,,,,,,,
ext4,,,,,,,,,,</ref>}}
NOVA,,,,,,,,,,
Lustre,,,,,,,,,,
F2FS,,,,,,,,,,
GPFS,,,,,,,,,,
GFS,,,,,,,,,,
NILFS,,,,,,,,,,
ReiserFS,,,,,,,,,,
Reiser4,,,,,,,,,,
OCFS,,,,,,,,,,
OCFS2,,,,,,,,,,
XFS,,,,,,,,,,
JFS,,,,,,,,,,
QFS,,,,,,,,,,
BFS,,,,,,,,,,
AdvFS,,,,,,,,,,
NSS,,,,,,,,,,
NWFS,,,,,,,,,,
ODS-5,,,,,,,,,,
APFS,,,,,,,,,,
VxFS,,,,,,,,,,
UDF,,,,,,,,,,
Fossil,,,,,,,,,,
ZFS,,,,,,,,,,
Btrfs,,,,,,,,,,
Minix V1,,,,,,,,,,
Minix V2,,,,,,,,,,
Minix V3,,,,,,,,,,
VMFS2,,,,,,,,,,
VMFS3,,,,,,,,,,
ISO 9660:1988,,,,,,,,,,
Rock Ridge,,,,,,,,,,
Joliet ("CDFS"),,,,,,,,,,
ISO 9660:1999,,,,,,,,,,
High Sierra,,,,,,,,,,
SquashFS,,,,,,,,,,
File system,Stores file owner,POSIX file permissions,Creation timestamps,Last access/read timestamps,Last metadata change timestamps,Last archive timestamps,Access control lists,Security/ MAC labels,Extended attributes/ Alternate data streams/ forks,Checksum/ ECC
