Software,Compare multiple files,Hash single file,Hash several files,Hash directories & sub-directories,exclude filter,Binary output,Bubble Babble output,Base64 output,Hexadecimal output
AccuHash,,,,,,,,,
BeaverSFV,,,,,,,,,
CDCheck,,,,,,,,,
cfv,,,,,,,,,
Checksum Compare,,,,,,,,,
Checksums,,,,,,,,,
CHK,,,,,,,,,
cksum,,,,,,,,,
CyoHash,,,,,,,,,
Data Digester,,,,,,,,,
DeepDigest,,,,,,,,,
DySFV,,,,,,,,,
ExactFile,,,,,,,,,
eXpress CheckSum Calculator,,,,,,,,,
FastSum,,,,,,,,,
FCIV,,,,,,,,,
Febooti Hash & CRC,,,,,,,,,
FileVerifier++,,,,,,,,,
FlashSFV,,,,,,,,,
FSUM,,,,,,,,,
FSUM Frontend,,,,,,,,,
PowerShell's Get-FileHash,,,,,,,,,
Hashcalc,,,,,,,,,
HashCheck Shell Extension,,,,,,,,,
HashForm,,,,,,,,,
HashShell,,,,,,,,,
ilSFV,,,,,,,,,
Jacksum,,,,,,,,,
jdigest,,,,,,,,,
jHashCalc,,,,,,,,,
MD5 File Hasher,,,,,,,,,
MD5 & SHA Checksum Utility,,,,,,,,,
md5deep,,,,,,,,,
md5sum,,,,,,,,,
MD5summer,,,,,,,,,
MD5 Win Verifier,,,,,,,,,
QuickSFV,,,,,,,,,
PeaZip,,,,,,,,,
RapidCRC,,,,,,,,,
RekSFV,,,,,,,,,
RHash,,,,,,,,,
SafeFileManager,,,,,,,,,
Sigcheck,,,,,,,,,
SFV Checker,,,,,,,,,
sha1sum,,,,,,,,,
sha3sum,,,,,,,,,
SuperSFV,,,,,,,,,
TeraCopy,,,,,,,,,
Tom's Hash Explorer,,,,,,,,,
Toolsley Hash & Validate,,,,,,,,,
Total Commander,,,,,,,,,
WinHasher,,,,,,,,,
wxChecksums,,,,,,,,,
Software,Compare multiple files,Hash single file,Hash several files,Hash directories & sub-directories,exclude filter,Binary output,Bubble Babble output,Base64 output,Hexadecimal output
