Can Target:,Changing default policy to accept/reject (by issuing a single rule),IP destination address(es),IP source address(es),TCP/UDP destination port(s),TCP/UDP source port(s),Ethernet MAC destination address,Ethernet MAC source address,Inbound firewall (ingress),Outbound firewall (egress)
Trend Micro Internet Security,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added]
Untangle,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added]
Vyatta,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added]
Windows XP Firewall,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added]
Windows Vista Firewall,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added]
Windows 7 /<br />Windows&nbsp;2008&nbsp;R2<br />Firewall,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added]
WinGate,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added]
Zeroshell,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added]
Zorp,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added]
pfSense,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added]
IPFire,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added]
