License,Author,Latest version,Publication date,Linking,Distribution,Modification,Patent grant,Private use,Sublicensing,<abbr title="trademark">TM</abbr> grant
<br />,,,,,,,,,,
Academic Free License<ref name="OSL/AFL 3.0"></ref>,Lawrence E. Rosen,3.0,2002,,,,,,
Affero General Public License,Affero Inc,2.0,2007,<ref name="affero gplv2"></ref>,<ref name="affero gplv2"/>,<ref name="affero gplv2"/>,,<ref name="affero gplv2"/>,
Apache License,Apache Software Foundation,2.0,2004,<ref name="apachev2s4"></ref>,<ref name="apachev2s4"/>,<ref name="apachev2s4"/>,<ref name="apachev2s4"/>,<ref name="apachev2s4"/>,<ref name="apachev2s4"/>,<ref name="apachev2s4"/>
Apple Public Source License,Apple Computer,2.0,2003August 6  2003,,,,,,
Artistic License,Larry Wall,2.0,2000,,,,,,
Beerware,Poul-Henning Kamp,42,1987,,,,,,
BSD License,Regents of the University of California,3.0,,<ref name="bsdlicense"></ref>,<ref name="bsdlicense"/>,<ref name="bsdlicense"/>,<ref name="bsdlicense"/>,<ref name="bsdlicense"/>,<ref name="bsdlicense"/>,<ref name="bsdlicense"/>
Boost Software License,,1.0,2003August 17  2003,,,,,,
Creative Commons Zero,Creative Commons,1.0,2009,<ref></ref><ref></ref>,,,,,
CC-BY,Creative Commons,4.0,2002,<ref name="auto">cc-by-4-0-and-cc-by-sa-4-0-added-to-our-list-of-free-licenses (2015)</ref>,,,,,
CC-BY-SA,Creative Commons,4.0,2002,<ref name="auto"/>,,,,,
CeCILL,CEA / CNRS / INRIA,2.1,2005June 21  2013,,,,,,
Common Development and Distribution License,Sun Microsystems,1.0,2004-12December 1  2004,,,,,,
Common Public License,IBM,1.0,2001May 2001,,,,,,
Cryptix General License,Cryptix Foundation,,1995,,,,,,
Eclipse Public License,Eclipse Foundation,2.0,August 24  2017,<ref name="epl"></ref>,<ref name="epl"/>,<ref name="epl"/>,<ref name="epl"/>,<ref name="epl"/>,<ref name="epl"/>,<ref name="epl"/>
Educational Community License,Indiana University<ref>https://scholarworks.iu.edu/dspace/handle/2022/3076</ref>,1.0,2007,,,,,,
European Union Public Licence,European Commission,1.2,2009May 2017,<ref name="eupl-compat"></ref>,<ref name="eupl-compat" />,<ref name="eupl-compat" />,<ref name="eupl"></ref>,<ref name="eupl" />,<ref name="eupl-compat" />,<ref name="eupl" />
GNU Affero General Public License,Free Software Foundation,3.0,2007,<ref name="agplsection13">https://www.gnu.org/licenses/agpl.html: section 13 of the GNU AGPLv3 license</ref>,<ref name="gnucopyleft">https://www.gnu.org/copyleft/gpl-howto.html: GNU licenses copyleft</ref>,<ref name="gnucopyleft"/>,<ref name="agplv3"></ref>,<ref name="agplv3"/>,<ref name="gnucopyleft"/>,<ref name="agplv3"/>
GNU General Public License,Free Software Foundation,3.0,2007June 2007,<ref name="iflibraryisgpl3">https://www.gnu.org/licenses/gpl-faq.html#IfLibraryIsGPL: If library is under GPLv3</ref><ref name="gpl3linking">https://www.gnu.org/licenses/gpl-faq.html#LinkingWithGPL: Linking with the GNU GPLv3</ref>,<ref name="gnucopyleft"/>,<ref name="gnucopyleft"/>,<ref name="gplv3"></ref>,<ref name="gplv3"/>,<ref name="gnucopyleft"/>,<ref name="gplv3"/>
GNU Lesser General Public License,Free Software Foundation,3.0,2007June 2007,<ref name="lgpl3">https://www.gnu.org/licenses/lgpl.html: the section 4 of the GNU Lesser General Public License version 3</ref>,<ref name="gnucopyleft"/>,<ref name="gnucopyleft"/>,<ref name="lgplv3"></ref>,,<ref name="gnucopyleft"/>,<ref name="lgplv3"/>
IBM Public License,IBM,1.0,1999August 1999,,,,,,
ISC license,Internet Systems Consortium,,2003June 2003,,,,,,
LaTeX Project Public License,LaTeX project,1.3c,,,,,,,
Microsoft Public License,Microsoft,,,,,,,,
MIT license / X11 license,MIT,,1988,<ref name="mit"></ref>,<ref name="mit"/>,<ref name="mit"/>,<ref name="mit"/>,<ref name="mit"/>,<ref name="mit"/>,<ref name="mit"/>
Mozilla Public License,Mozilla Foundation,2.0,2012January 3  2012,<ref name="mpl2"></ref>,<ref name="mpl2"/>,<ref name="mpl2"/>,<ref name="mpl2"/>,<ref name="mpl2"/>,<ref name="mpl2"/>,<ref name="mpl2"/>
Netscape Public License,Netscape,1.1,,,,,,,
Open Software License<ref name="OSL/AFL 3.0"></ref>,Lawrence Rosen,3.0,2005,,,,,,
OpenSSL license,OpenSSL Project,,,,,,,,
Python Software Foundation License,Python Software Foundation,2,,,,,,,
Q Public License,Trolltech,,,,,,,,
Sleepycat License,Sleepycat Software,,1996,,,,,,
Unlicense,unlicense.org,1,2010December 2010,,,,,,
W3C Software Notice and License,W3C,20021231,2002December 31  2002,,,,,,
Do What The Fuck You Want To Public License (WTFPL),Banlu Kemiyatorn  Sam Hocevar,2,2004December 2004,,,,,,
XCore Open Source License also separate "Hardware License Agreement",XMOS,,2011February 2011,,,,,,
XFree86 1.1 License,The XFree86 Project  Inc,,,,,,,,
zlib/libpng license,Jean-Loup Gailly and Mark Adler,,,,,,,,
