Software,Latest version,Latest release,Free to use,Free software,Software license,Windows,macOS,Linux,Android,iOS
Agelong Tree,4.7,2015-12-04,,,,,,,
Ahnenblatt,2.99c,2018-10-11,,,,,,,,
Ancestral Quest,v15.0.9,2017-07-05,,,,,,,
Ancestromania,2017.2.1.2.,,,,GNU GPL,,,,,
Brother's Keeper,7.3.4,2018-12-11,,,,,,,
Family Historian,6.2.7,2018-05-01,,,,,,,
Family Tree Builder,8.0,2016-08-12,,,,,,,
Family Tree Maker,2017 (23.0),2017-7-16,<br />,,,,,,,
Family Tree,1.2.1,2013-10-05,,,,,,,,
GEDitCOM II,2.3,2016-11-17,,,,,,,
Genbox Family History,3.7.1,2007-11-17,,,,,,,
GenealogyJ,3.0,2010-02-18,,,,}},}},}},,
GenEarth,1.4.1,2017-05-02,,,,,,
Genney,2.25,2018-01-05,,,,,,,
GenoPro,2016  3.0.0.7,2016-01-27,,,,,,,
Gramps,5.0.0,2018-07-24,,,,,,,,
Heredis,2018,2018-01-30,,,,,,,
Kith and Kin Pro,3.2.5,2016-08-01,,,,,,,
Legacy Family Tree,9.0.0.169,2017-05-02,,,,,,,
LifeLines,3.1.1,2016-03-17,,,,,,,,
MacFamilyTree,8.3.5,2018-04-24,,,,,,,
My Family Tree,7.1.1.0,2017-05-31,,,,,,,,
Personal Ancestral File,5.2.18.0,2002-07-23 (discontinued 2014),,,,,,,,
Reunion,12.0 (build 80122),2018-01-22,,,,,,,
RootsMagic,7.5.6.0,2018-04-27,,,,,,,
The Master Genealogist,9.05.0000,2014-12-03 (Discontinued:2014-12-31),,,,,,,
