Name,Unicode Support,Single parent family,Same sex marriage,Witness to events,Name variants,Conflicting evidence,Source surety,Adoption & foster parent,non-standard calendar in date fields
Agelong Tree,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Ahnenblatt,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Ancestral Quest,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Brother's Keeper,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Family Historian,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Family Tree Builder,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Family Tree Maker,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
GEDitCOM II,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Genbox Family History,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
GenealogyJ,[empty],[empty],One partner's gender mislabelled,[empty],[empty],[empty],[empty],[empty],[empty]
GenEarth,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Genney,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
GenoPro,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Gramps,[empty],[empty],One partner's gender mislabelled<ref></ref>,[empty],[empty],[empty],[empty],[empty],[empty]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Heredis,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Legacy Family Tree,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
LifeLines,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
MacFamilyTree,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Personal Ancestral File,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Reunion,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
RootsMagic,[empty],[empty],[empty],(paid version),[empty],[empty],[empty],[empty],[empty]
The Master Genealogist,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
