[empty],Manufacturer,First public release date,Product line,Launch price (USD),Units sold
Atari Lynx,Atari,<ref name="gamepro" />,Atari Lynx,$<ref name="gamepro" />,[empty]
Atari Lynx II,Atari,[empty],Atari Lynx,$,<ref name="gamepro" />
Dingoo A320,Dingoo Digital Technology,[empty],Dingoo,$,[empty]
Epoch Game Pocket Computer,Epoch Co.,[empty],Epoch Game Pocket Computer,[empty],[empty]
Gamate,Bit Corporation,[empty],Gamate,[empty],[empty]
GameKing,Timetop,[empty],GameKing,$–20 (depending on retailer's subsidies and special offers),[empty]
GameKing II,Timetop,[empty],GameKing,$–30 (depending on retailer's subsidies and special offers),[empty]
Game Boy,Nintendo,[empty],Game Boy line,$89.99 <ref name="used" />,[empty]
Game Boy Advance,Nintendo,[empty],Game Boy line,$,<ref name="earnings release Q4 2007" />
Game Boy Advance SP,Nintendo,[empty],Game Boy line,$,<ref name="earnings release Q4 2007" />
Game Boy Advance SP (backlit model),Nintendo,[empty],Game Boy line,$,[empty]
Game Boy Color,Nintendo,[empty],Game Boy line,$69.99<ref name="used"></ref>,[empty]
Game Boy Light,Nintendo,(Japan only),Game Boy line,[empty],[empty]
Game Boy Micro,Nintendo,[empty],Game Boy line,$,<ref name="gamepro" />
Game Boy Pocket,Nintendo,[empty],Game Boy line,$<ref name="used"/>,[empty]
Game.com,Tiger Electronics,<ref name="gamepro" />,Game.com,$–69<ref>Game Boy Competitors: Part 2 ::: Kombo.com – Video Games  News  Zelda  Halo 3  Grand Theft Auto  Mario  Super Smash Bros. Brawl</ref>,<ref name="gamepro" />
GCW Zero,Game Consoles Worldwide,[empty],GCW,$,[empty]
Gizmondo,Tiger Telematics,<ref name="gamepro" />,Gizmondo,$–400 (depending on advertising subsidies)<ref name="gamepro" />,<ref name="gamepro" />
GP2X,GamePark Holdings,[empty],GP2X,$,<ref name="gp2x sales">Mrozek  Michael (official German distributor posting as "EvilDragon". Source: http://www.planetds.de/index.php?page=artikel&artikel=pandora). Post on GP32x.com forum . August 31  2008. Accessed on: September 5  2008.</ref> (inc. GP2X F200 sales)
GP2X F200,GamePark Holdings,<ref>Martin  Joe. Gamepark GP2X F200 released at last. Bit-tech. October 30  2007. Accessed on: September 15  2008.</ref>,GP2X,$<ref name="gp2x sales" />,<ref name="gp2x sales" /> (inc. original GP2X sales)
GP2X Wiz,GamePark Holdings,[empty],GP2X,$,[empty]
GP2X Caanoo,GamePark Holdings,<ref></ref>,GP2X,$,[empty]
GP32,Game Park,[empty],GP32,$,<ref name="clockerz">GP2X Q&A  With Craig Rothwell. Clockerz. Retrieved March 24  2008.</ref>
GPD Win,GamePad Digital,[empty],GPD Win,$–400<ref></ref><ref></ref>,[added]
GPD Win 2,GamePad Digital,[empty],GPD Win,$-899 (pre-order  and tentative release prices),[added]
Mega Duck/Cougar Boy,Creatonic  Videojet  and Timlex,[empty],Mega Duck/Cougar Boy,$,[empty]
Microvision,Milton Bradley Company,[empty],Microvision,$,[empty]
Mi2,Planet interactive,[empty],Pocket Dream Console,€,[empty]
Neo Geo Pocket,SNK Playmore,<ref name="gamepro" />,Neo Geo,$<ref name="gamepro" /><ref name="Neo-Geo"/>,[empty]
Neo Geo Pocket Color,SNK Playmore,<ref name="gamepro" />,Neo Geo,$<ref name="Neo-Geo">Game Boy Competitors: Part 2 ::: Kombo.com – Video Games  News  Zelda  Halo 3  Grand Theft Auto  Mario  Super Smash Bros. Brawl</ref>,[empty]
Neo Geo X,SNK Playmore,<ref name="gamepro" />,Neo Geo,$,[empty]
Nintendo DS,Nintendo,[empty],Nintendo DS,$,<ref name="earnings release Q4 2007" />
Nintendo DS Lite,Nintendo,[empty],Nintendo DS,$,<ref name="earnings release Q4 2007"></ref>
Nintendo DSi,Nintendo,<ref></ref>,Nintendo DS,$<ref></ref>,<ref></ref>
Nintendo 3DS,Nintendo,<ref></ref>,Nintendo DS,$<ref></ref>,(as of June 2018)<ref name="Recent Nintendo sales" />
Nintendo Switch,Nintendo,3 March 2017,Nintendo Switch,$299.99,(as of June 2018)<ref name="Recent Nintendo sales"></ref>
Nintendo 2DS,Nintendo,12 October 2013,Nintendo DS,$79.99,[empty]
Nintendo 2DS XL,Nintendo,[empty],Nintendo DS,[empty],[empty]
N-Gage,Nokia,[empty],N-Gage,$<ref name="gamepro" />,<ref name="gamepro" />
N-Gage QD,Nokia,[empty],N-Gage,$–245 (depending on cell provider subsidies),[empty]
Pandora,OpenPandora,[empty],Pandora,$<ref></ref> (1st and 2nd batch)<br />Rebirth edition: €370 (€440 incl. VAT),<ref></ref>
PlayStation Portable,Sony Computer Entertainment,[empty],PlayStation,$,https://web.archive.org/web/20100304185904/http://www.gamezine.co.uk/news/playstation-3-and-xbox-360-worldwide-sales-equal-in-2008-%241264624.htm
PlayStation Portable Slim and Lite,Sony Computer Entertainment,[empty],PlayStation,$,[empty]
PlayStation Vita,Sony Computer Entertainment,[empty],PlayStation,$ Wi-Fi+3G<br />$249.99 Wi-Fi Only,(as of 2015)
PocketFami,GameTech,[empty],PocketFami,$,[empty]
Sega Game Gear,Sega,[empty],Sega Game Gear,$<ref name="gamepro" />,<ref name="gamepro" />
Sega Nomad,Sega,<ref name="gamepro" />,Sega Nomad,$<ref name="gamepro" />,<ref name="gamepro" />
SwanCrystal,Bandai,[empty],WonderSwan,$,[empty]
Tapwave Zodiac,Tapwave,[empty],Tapwave Zodiac,$–400 (depending on configuration),<ref name="gamepro" />
TurboExpress,NEC,<ref name="gamepro" />,TurboExpress,$<ref name="gamepro" />,<ref name="gamepro"></ref>
VG Pocket,Pelican Accessories,[empty],VG Pocket,$,[empty]
Watara Supervision,Watara,[empty],Supervision,$<ref>Game Boy Competitors: Part 2 ::: Kombo.com – Video Games  News  Zelda  Halo 3  Grand Theft Auto  Mario  Super Smash Bros. Brawl</ref>,[empty]
WonderSwan,Bandai,<ref>Bandai's WonderSwan. Destroy Tokyo. Accessed on: September 15  2008.</ref>,WonderSwan,[empty],[empty]
WonderSwan Color,Bandai,[empty],WonderSwan,$,[empty]
Xperia PLAY,Sony Ericsson,[empty],Xperia,[empty],[empty]
