Brand,Model,Introduced,Discontinued,Speeds (external),Gear width (with external),Ebike Max Power,Max Torque,Direct Drive,Weight (excluding auxiliary components),Intended purpose
Brompton,BSR (fork from Sturmey Archer),[empty],[empty],3,178%,[empty],[empty],[empty],? g,City
Brompton,BWR<ref>Emerson Roberts: Brompton product announced 2009</ref><ref>Richard Peace: Brompton wide ratio hub gear announced  bikeradar.com  30 Oct 2008</ref>,2009,[empty],3(x2),246% (302%),[empty],[empty],[empty],940 g,City
Enviolo,City,2019,[empty],continuous,310%,250 w,50 Nm,n/a,?,City
Enviolo,Trekking,2019,[empty],continuous,380%,250 w,75 Nm,n/a,?,City/Trekking
Enviolo,Sportive,2019,[empty],continuous,380%,500 w,120 Nm,n/a,?,City/Trekking/Sport
Enviolo,Cargo,2019,[empty],continuous,380%,500 w,80 Nm,n/a,?,City/Cargo
Enviolo,Commercial,2019,[empty],continuous,310%,250 w,50 Nm,n/a,?,City
Fallbrook (Enviolo),NuVinci N380,2015,2018,continuous,380%,[empty],[empty],n/a,2450 g<ref>http://www.nuvincicycling.com/en/products/nfinity.html</ref>,City
Fallbrook (Enviolo),NuVinci N360,2010,2014,continuous,360%,[empty],[empty],n/a,2450 g<ref name=":0">Hubstripping.com NuVinci N171 and N360  11 April 2011</ref>,City
Fallbrook (Enviolo),Nuvinci N330,2015,2018,continuous,330%,[empty],[empty],n/a,2450 g<ref name=":0" />,City
Fallbrook (Enviolo),NuVinci N171,2007,2010,continuous,350%,[empty],[empty],n/a,3850–3950 g,City
Rohloff AG,Speedhub 500/14,1998,[empty],14,526%,[empty],[empty],11th gear,1700-1825 g<ref>http://www.rohloff.de/en/technology/speedhub/technical_data/index.html</ref>,Sport  Touring
Shimano,Alfine SG-700,2010,[empty],11,409%,[empty],[empty],n/a,1600-1744 g<ref>http://www.roadcyclinguk.com/gear-news/shimano-alfine-11-speed-hub-gear/4896.html</ref><ref>http://hubstripping.wordpress.com/alfine-shimano/alfine-11/</ref><ref>http://road.cc/content/review/27971-shimano-alfine-11-hub-and-shifter</ref>,City  Sport
Shimano,Alfine SG-500,2006,[empty],8,307%,[empty],[empty],[empty],1600 g,City
Shimano,Nexus Inter-8,[empty],[empty],8,307%,[empty],[empty],5th gear,1550-2040 g,City
Shimano,Nexus Inter-7,1995,[empty],7,244%,[empty],[empty],[empty],1465-1860 g,City
Shimano,Nexus 4 Speed,[empty],[empty],4,184%,[empty],[empty],1st gear,[empty],City
Shimano,Nexus Inter-3,[empty],[empty],3,187%,[empty],[empty],2nd gear,1220 g,City
SRAM (Sachs),Spectro E12 (Elan),1995,1999,12,339%,[empty],[empty],[empty],3500-4000 g,City
SRAM,i-Motion 9,2005,2012,9,340%,[empty],[empty],[empty],2000g (wo brake)- 2400g (with coaster brake),City
SRAM,G8,2012,2015,8,260%,[empty],[empty],[empty],2180 <ref></ref>,City
SRAM,G9,2014,2015,9,292%,[empty],[empty],[empty],[empty],City  Sport
SRAM (Sachs),Spectro S7 (Super 7),1993,2010,7,303% (Super 7: 284%),[empty],[empty],[empty],1645-1826 g,City
SRAM (Sachs),Spectro P5 (Pentasport) <ref name="cyclea2b.blogspot.com">Cycle A 2 B: Sachs 5 speed Torpedo Pentasport hub gear  11 April 2011</ref> P5 Cargo,1987,2010? <ref>http://www.bikeforums.net/archive/index.php/t-781365.html</ref>,5,224-251%,[empty],[empty],[empty],[empty],City
SRAM (Sachs),Spectro T3/i-Motion 3/Torpedo Dreigang<ref name="cyclea2b.blogspot.com" />,1987,[empty],3,187%,[empty],[empty],[empty],[empty],City
SRAM (Sachs),Neos/Spectro 3x7,1994,2000<ref>http://sheldonbrown.com/sachs-internal.html</ref>,3(x7),186% (434%) <ref>http://www.greenspeed.com.au/pdfs/sachs_3x7.pdf</ref>,[empty],[empty],[empty],[empty],City
SRAM (Sachs),Torpedo Duomatic/Automatic,[empty],[empty],2,136%,[empty],[empty],[empty],[empty],City
Sturmey Archer,XRF-8 (W)  XRK-8 (W)  XRD-8 (W),2014,[empty],8,325%,[empty],[empty],1st Gear,1770-2170 g,City/Folding
Sturmey Archer,XRF-8  X-R[F/D/K]8,2007,2013,8,305%,[empty],[empty],1st Gear,1480-1600 g,City
Sturmey Archer,RX-RF5  RX-RD5  RX-RK5  RX-RC5  RXL-RD5  TS-RF5,2017,[empty],5,243%,[empty],[empty],3rd Gear,1905-2412 g,City
Sturmey Archer,S5 AT5 SAB Sprinter-5 [S/X/XL]-R[C/D/F/K]5,1966,[empty],5,225-256%,[empty],[empty],[empty],1200-1760 g,City
Sturmey Archer,X-RF4  X-RK4  X-RD4,2018,[empty],4,210%,[empty],[empty],1st Gear,1160-1630 g,City/Folding
Sturmey Archer,F[C/M/G/W],1935,1970,4,134-160%,[empty],[empty],[empty],? g,City
Sturmey Archer,A[BC/T3] AW[C] S[C3/SAB] [S/X/XL]-R[F/S/F]3 SEARS 503.21,1933,[empty],3,178%,[empty],[empty],[empty],1000-1380 g,City
Sturmey Archer,[S/B]2[C] Duomatic<ref>S/A S2C 2010</ref>,2010,[empty],2,138%,[empty],[empty],[empty],930-1400 g,City
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
