Client,Publisher,First public release,Type,Latest stable version,License
Adium,Adam Iser  Evan Schoenberg,2001-09,Multi-protocol,,
aMSN,The aMSN team,2002-05,Single-protocol,0.98.4,
AOL Instant Messenger (AIM),AOL,1997-05,Single-protocol,,(was freeware)
AstraChat,Rockliffe System Inc,2014-09,Single-protocol,1.71.41 (),
Ayttm,Colin Leroy and Philip Tellis,2003-04,Multi-protocol,Linux: 0.6.3 (10 Jul 2010) Windows: 0.4.6-17,
BlackBerry Messenger (BBM),BlackBerry Limited,2006,Single-protocol,,
BitlBee,Wilmer van der Gaast,2002-08-09,Multi-protocol IRC gateway,,
Bombus,Eugene Stahov,2005-01-05,Single-protocol,v0.6 (),
Centericq,Konstantin Klyagin,1999,Multi-protocol,,
Coccinella,Mats Bengtsson,1999-12-01,Single-protocol,0.96.16 (),
Discord,Discord Inc.,2015-03-06,Single-protocol,03.30.2017; (),
eBuddy,Paulo Taylor,2003-03-09,Multi-protocol,,
emesene,Luis Mariano Guerra,2006-05-24,Multi-protocol,2.12.5,
Empathy,The GNOME Project,2007-05,Multi-protocol,,
Facebook Messenger,Facebook  Inc.,2011-08-09,Single-protocol,,
FaceTime,Apple Inc.,2010-06-24 for iOS; 2011-02-24 for macOS:,Single-protocol,iOS: 10.3.3 (stable)  macOS: 4.0 (3080),,
Fire,Eric Peyton,1999-04-01,Multi-protocol,,
Firetalk,Multitude Communications,1997 -2001,voice/music chat program,,
Flock,Riva FZC,September 2014,Single-protocol,iOS: v2.28.5  Android: v4.5  OS X: v2.2.144  Windows: v2.2.x  Web: v2.2.x,
Gadu-Gadu,Łukasz Foltyn / GG Network S.A.,2000-08-15,Single-protocol,Modern UI: 2.0.0.179 Desktop: 12.0.49.11103 (),
Gajim,Yann Le Boulanger,2004-05-21,Single-protocol,,
Google Allo,Google  Inc.,2016-09-21,Single-protocol,,
Google Hangouts,Google  Inc.,2013-05-15,Single-protocol,,
Hookt,Hookt  Inc.,2011-09-14,Single-protocol,,
