Client,Handwriting mode,Dockable,Multiaccount,Spell check,User-defined graphic emoticons,Animations,OAuth
Adium,, receive only,,,,,,
AIM,,,,,,,
aMSN,,,,,,,
Ayttm,,,,,,,
BitlBee,,,,,,,
Centericq,,,,,,,
climm,,,,,,,
Coccinella,,,,,,,
Discord,,,,,,,
Empathy,,,,,,,
Facebook Messenger,,,,,,,
Fire,,,,,,,
Gajim,,,,,,,
Google Talk,<ref group="lower-alpha" name="googletalk-enc" />,,<ref group="lower-alpha" name="no-standalone" />,,,<ref group="lower-alpha" name="no-standalone" />,
iChat,,,,,,,
ICQ,,,,,,, tZer,
IMVU,,,,,,,
Jitsi,,,,,,,
Kadu,,,,,,, emoticons,
Kopete,,,,,,, emoticons,
Miranda IM,,,,,,,
MySpaceIM,,,,,,,
naim,,,,,,,
Paltalk,,,,,,,
Pidgin,,,,,,, emoticons  user icons,
Psi,,,,,,<ref group="lower-alpha" name="configuration-options" />,
QIP,,,,,,, emoticons,
QuteCom,,,,,,,
Ring,,,,,,,
Riot.im,,,,,,,
Signal,,,,,,,
Snapchat,,,,,,,
Skype,,,,,,, animated emoticons,
Telegram (standard messages),,,,,,,
Telegram (secret chats),,,,,,,
Tencent QQ,,,,,,,
Tkabber,,,,,,, animated emoticons,
Trillian,,,,,,, animated emoticons,
WhatsApp,,,,,,,
Windows Live Messenger,,,,,,, animated emoticons  winks,
Wire,,{{?}},,,,,, uses encrypted protocol
Yahoo! Messenger,,,,,,,
Client,Handwriting mode,Dockable,Multiaccount,Spell check,User-defined graphic emoticons,Animations,OAuth for client authorization
