IDE,License,Windows,Linux,macOS,Other platforms,Written in,Debugger,GUI builder,Integrated toolchain,Profiler,Code coverage,Autocomplete,Static code analysis,GUI-based design,Class browser,Latest stable release,C compiler,C++ compiler,Refactoring
Anjuta,[empty],[empty],[empty],[empty],FreeBSD,C,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],2016-03,[empty],[empty],[empty]
AppCode (IntelliJ IDEA),[empty],[empty],[empty],[empty],[empty],Java,[empty],[empty],[empty],(Xcode profiler),[empty],[empty],[empty],[empty],[empty],2012-12,(Xcode toolchain),(Xcode toolchain),[empty]
C++Builder,[empty],[empty],(Cross compiler planned),(Cross compiler),cross-compiles for Android and iOS,C++ and Object Pascal,[empty],[empty],[empty],(AQTime Standard in package manager),[empty],[empty],[empty],[empty],[empty],2017-03 Tokyo 10.2,[empty],[empty],[empty]
Code::Blocks,[empty],[empty],[empty],[empty],FreeBSD  OpenBSD  Solaris,C++,[empty],[empty],[empty],[empty],[empty],[empty],[empty],<ref>Using the wxSmith plug-in (included in distribution  requires wxWidgets SDK)</ref>,[empty],2017-12<ref>codeblocks.org / Also provides relatively stable "nightly builds"  an alternative to the official releases</ref>,(MinGW + custom),(MinGW + custom),[empty]
CodeLite,[empty],[empty],[empty],[empty],FreeBSD,C++,[empty],[empty],[empty],(As of CodeLite 6.1  integration with Valgrind),[empty],[empty],[empty],<ref>Using the wxCrafter plug-in (included in distribution  requires wxWidgets SDK)</ref>,[empty],2018-10-25<ref></ref>,(GCC  Clang  VC + custom),(GCC  Clang  VC + custom),[empty]
Dev-C++,[empty],[empty],<ref>A Linux version was in the works  but has been abandoned since mid-2002; however  Dev-C++ has been reported to run on Wine.</ref>,[empty],FreeBSD,Object Pascal,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],2013-10 (Unofficial Version)  2005-02 (Official Version),[empty],[empty],[empty]
Eclipse CDT,[empty],[empty],[empty],[empty],FreeBSD  JVM  Solaris,C++  Java,[empty],<ref name="Eclipse Qt Integration"/>,<ref name="Eclipse CDT Toolchain"></ref>,<ref name="Eclipse Linux Tools Profiling"></ref>,<ref name="Eclipse Linux Tools Code Coverage"></ref>,[empty],[empty],[empty],[empty],2018-03<ref></ref><ref></ref><ref></ref>,[empty],[empty],[empty]
Geany,[empty],[empty],[empty],[empty],FreeBSD  AIX  OpenBSD  Solaris  other Unix,C,(via a plug-in),[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],2016-03<ref></ref>,[empty],[empty],[empty]
GNAT Programming Studio,[empty],[empty],[empty],[empty],DragonFly BSD  FreeBSD  NetBSD  OpenBSD  Solaris,Ada,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],2016-06,[empty],[empty],[empty]
JetBrains CLion,[empty],[empty],[empty],[empty],[empty],Java,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],2017-11<ref></ref>,(customizable),(customizable),[empty]
KDevelop,[empty],[empty],[empty],[empty],FreeBSD  Solaris,C/C++,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],2018-11,[empty],[empty],[empty]
LabWindows/CVI,[empty],[empty],[empty],[empty],cross-compile to Linux  Phar Lap ETS,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],2016-12,[empty],[empty],[empty]
