IDE,Widget toolkit,Platform,Compilers,Open Source,Made in D,Notes
Visual Studio,,Windows,DMD  LDC (LLVM)  GDC (GCC),,,Visual Studio extension. VisualD  wrote in D.
NetBeans,Java Swing,Windows  macOS  GNU/Linux  FreeBSD  Solaris  OpenIndiana  Java,DMD  LDC (LLVM)  GDC (GCC),,,NetBeans module. NetBeans-D  under MIT License.
SlickEdit,Qt,Windows  Linux  MacOS  AIX  HP-UX  Solaris  Solaris SPARC,DMD,,,
CodeLite,wxWidget,Windows  macOS  GNU/Linux  FreeBSD  Solaris  OpenIndiana,DMD  LDC (LLVM)  GDC (GCC),,,
Xcode,Cocoa,macOS,DMD  GDC (GCC),,,Xcode plugin. D for Xcode  under GPL v2.
MonoDevelop,GTK#,Windows  macOS  GNU/Linux  FreeBSD  Solaris  OpenIndiana,DMD  LDC (LLVM)  GDC (GCC),,,MonoDevelop extension. Mono-D  support VisualD projects and DUB  Can be installed on Xamarin Studio too  under Apache License.
KDevelop,Qt,Windows  macOS  GNU/Linux  FreeBSD  Solaris  OpenIndiana,DMD  LDC (LLVM)  GDC (GCC),,,
Geany,GTK+,Windows  macOS  GNU/Linux  FreeBSD  Solaris  OpenIndiana,DMD  LDC (LLVM)  GDC (GCC),,,Native support.
Code::Blocks,wxWidget,Windows  macOS  GNU/Linux  FreeBSD  Solaris  OpenIndiana,DMD  LDC (LLVM)  GDC (GCC),,,Includes partial support.
Eclipse,SWT,Windows  macOS  GNU/Linux  FreeBSD  Solaris  OpenIndiana  Java,DMD,,,Eclipse Plugin. DDT. Dropped.
