rowspan="2",CF,CFast,SM,MMC,Memory Stick,SDSC,SDHC,SDXC,xD,XQD
I,II,,,MMC,RS-MMC  MMCmobile,Std,PRO,PRO Duo,Micro,SDSC,miniSD,microSD,SDHC,miniSDHC,microSDHC,SDXC,microSDXC,Std,M,H,
ExpressCard,E<ref name="cf2expresscard"></ref>,E<ref name="cf2expresscard"/>,,,E<ref name="exp12in2">DataFab EXP 12 in 2 </ref>,,E<ref name="exp12in1">DataFab exp 12 in 1 </ref>,E<ref name="exp12in1"/>,E<ref name="exp12in2"/>,,E<ref name="exp12in2"/>,E<ref name="exp12in2"/>,E<ref name="expm2microsd">DataFab exp M2+microSD </ref>,,,,,,E<ref name="exp12in2"/>,E<ref name="exp12in2"/>,E<ref name="exp12in2"/>,EM
PCI Express Mini Card,,,,,,,,,,,,,,,,,,,,,,EM
mSATA,,,XM,,,,,,,,,,,,,,,,,,,
PC Card,EM<ref name="cf2pc"></ref>,EM<ref name="cf2pc"/>,,E<ref name="transcendusa1"></ref>,E<ref name="5in1-pc"></ref>,,E<ref name="5in1-pc"/>,E<ref name="5in1-pc"/>,,,E<ref name="5in1-pc"/>,,,,,,,,,,,
PCMCIA,EM<ref name="cf2pc" />,EM<ref name="cf2pc"/>,,E<ref name="transcendusa1"/>,E<ref name="5in1-pc" />,,E<ref name="5in1-pc"/>,E<ref name="5in1-pc"/>,,,E<ref name="5in1-pc"/>,,,,,,,,,,,
CF I,+,+,,E,E<ref name="sd2cf">Minolta SD-CF1 SD-to-CompactFlash adapter</ref>,,E<ref name="ms2cf">Transcend MemoryStick-to-CompactFlash adapter</ref>,E<ref name="ms2cf"/>,E<ref name="duo2cf"></ref>,,E<ref name="sd2cf"/>,,,,,,,,E<ref name="xd2cf">Olympus MACF-10 xD-to-CompactFlash adapter </ref>,E<ref name="xd2cf"/>,E<ref name="xd2cf"/>,
CF II,,+,,E,E<ref name="sd2cf"/>,,E<ref name="ms2cf"/>,E<ref name="ms2cf"/>,,,E<ref name="sd2cf"/>,,,,,,,,E<ref name="xd2cf"/>,E<ref name="xd2cf"/>,E<ref name="xd2cf"/>,
CFast,,,+,,,,,,,,,,,,,,,,,,,
SM,,,,+,,,,,,,,,,,,,,,X<ref name="xd2sm">Hama xD-to-SM adapter</ref>,X<ref name="xd2sm"/>,X<ref name="xd2sm"/>,
xD,,,,,,,,,,,,,E<ref name="microsd2xd">In March 2008  Olympus started shipping the MASD-1 microSD-to-xD adapter along with its latest compact digital cameras  with a shape designed to fit only in those latest cameras. The physical adapter is in fact purely electromechanical  although the xD and SD protocols are completely incompatible. This demonstrates that the cameras themselves must understand the SD protocol  and thus the adapter is more properly termed an electronic adapter  with the electronic logic contained in the camera rather than the physical accessory.</ref>,,,,,,+,+,+,
XQD,,,,,,,,,,,,,,,,,,,,,,+
MMC,,,,,+,M,,,,,D<ref>SD cards are usually thicker than MMC ones  and although it uses perfectly compatible pins  not every MMC slot may allow thick SD card to be inserted</ref>,,,,,,,,,,,
MS,,,,,X<ref name="sd2ms"></ref>,,+,+,M,M,X<ref name="sd2ms"/>,X<ref name="sd2ms"/>,E<ref name="mcsd2ms">KingMax microSD to MS PRO Duo Adapter</ref>,,,,,,,,,
SDSC,,,,,D,M,,,,,+,EM,EM,,,,,,,,,
miniSD,,,,,,,,,,,,+,EM,,,,,,,,,
microSD,,,,,,,,,,,,,+,,,,,,,,,
