Software,Platform,License,Latest version,Last release year,Size<br />(MB),Description,Number,Supported metadata standards,Supported file formats
EXIF,GPS,IPTC,XMP,Maker,Other,JPEG,TIFF,Raw,Other
A Photo Manager<ref></ref><ref></ref>,Android,,0.6.3.180211 (35),2018,1.3,Show/Edit GPS infos of local photos through a map.,,,,,,,,,,,
Auto ISO Tool<ref>http://aeropic.free.fr/H&amp;B/AUTO_ISO_patcher/</ref>,Windows,,,2007,0.2,GUI for ExifTool to patch Canon ISO information.,2,,-,,-,,-,,-,-,-
AvPicFaceXmpTagger<ref></ref>,Linux  Windows,,1.7,2010,3.7,Write Picasa face recognition information as XMP to your images.,,-,-,-,,-,-,,-,-,-
Daminion<ref></ref>,Windows,,Unknown  no trials available,2017,41.6,A tool that can update EXIF/IPTC/XMP/ID3/Office metadata in images  video  audio  Office documents  Camera raw images and vector images. Uses ExifTool  a free  open-source tool.,>70,,,,,,,,,,
DBGallery<ref></ref>,Windows,,7.5,2016,63,Image management software which can update IPTC and XMP metadata in images  video  and audio. Uses Adobe's XMP Toolkit to read/write metadata.,32,,,,,-,-,,,,
Description Explorer<ref></ref>,Windows,,0.5.2,2009,10.7,Collection of tools for XMP metadata.,15,-,-,-,,-,-,,-,-,-
Easy Exif Delete<ref></ref>,Windows,,1.2,2010,0.8,Clean any EXIF unwanted data from your digital pictures.,,,,-,-,-,-i,,-,-,-
EXIF-O-Matic<ref></ref>,Linux  MacOS  Windows,,1.2,2012,0.2,View EXIF tags.,,,,-,-,-,-,,-,-,-
ExifAuto<ref></ref>,Windows,,2.2,2007,0.4,GUI front-end for ExifTool to perform simple operations.,5,,-,-,-,-,-,,,-,-
EXIF Browser<ref></ref>,Windows,,0.9.9.16,2007,0.9,Extract EXIF information from image files.,,,,-,-,-,-,,,,
Exif Copier<ref></ref>,Windows,,0.9,2010,5.0,Copy metadata between sets of multiple images using ExifTool.,,,,,,,,,,,
ExifCleaner<ref></ref>,Windows,,1.8,2012,1.2,Lets you to erase/remove photographic metadata.,,,,,,,,,-,-,-
EXIF Date Changer<ref></ref>,Windows,,3.55,2017,7,Allows you change the time  date  and other information stored in the metadata of your photos.,7,,-,,-,-,-,,,,
ExifDropper<ref></ref>,Windows,,0.9,2009,0.1,Graphical front-end for ExifTool with drag-and-drop and command-line parameters.,>200,,,,,,,,,,
ExifMixer<ref></ref>,Windows,,0.50,2008,0.4,GUI extension for the ExifTool with command-line parameters.,>200,,,,,,,,,,
