+Media playback and controls
Feature,Android,iOS,Windows 10 Mobile,BlackBerry 10,Tizen,Sailfish OS,Ubuntu Touch
Audio playback,AAC LC/LTP 3GPP  HE-AACv1 (AAC+)  HE-AACv2 (enhanced AAC+) AMR-NB  AMR-WB  MP3  MIDI (Type 0 and 1  DLS versions 1 and 2)  Ogg Vorbis  PCM/WAVE  FLAC  WAVE  Opus<ref name="androidCoreMediaFormats"></ref>,AAC  protected AAC (from iTunes Store)  HE-AAC  MP3  MP3 VBR  Audible (formats 2  3  4  Audible Enhanced Audio  AAX  and AAX+)  Apple Lossless  AIFF  WAV<ref name="Compare Models - Apple"></ref>,MP3  WMA Std 9.2  WMA Pro  FLAC  AMR-NB  AAC-LC  AAC+  eAAC+<ref></ref>,MP3  FLAC  AAC  AAC+  eAAC+  WAV  WMA pro  AMR-NB  MIDI  AWB  M4A  MKA  OGG<ref name="docs.blackberry.com"></ref>,AAC  AAC+  eAAC+  AMR-NB  AMR-WB  MP3  Vorbis  WAV<ref name="Tizen Supported Multimedia Formats">Supported Multimedia Formats </ref>,MP3  FLAC  AAC  eAAC  eAAC+  ALAC  AC3  DTS  Opus  Vorbis,?
Video playback,H.263  H.264 (up to Baseline Profile)  H.265 HEVC  MPEG-4 SP  DivX  XviD  VP8  VP9<ref name="androidCoreMediaFormats" /> (WMV on 3rd party software like VLC media player),H.264 (up to High Profile)  MPEG-4  M-JPEG<ref name="Compare Models - Apple"/>,H.263  H.264  WMV  MPEG4  MPEG4 @ HD 720p 30fps  DivX  XviD<ref></ref>,MP4  WMV  H.263  H.264  DivX  WMV  XviD  3GGP  3GP2  ASF  AVI  F4V  M4V  MKV  MOV  MPEG4  MPEG-2<ref name="docs.blackberry.com"/>,H.263  H.264  MPEG-4 Part 2<ref name="Tizen Supported Multimedia Formats" />,MPEG-4  H264  H263 <ref>What codecs (audio or video) are hardware accelerated? - together.jolla.com </ref> although audio in recorded videos is out of sync<ref>A comment in What codecs (audio or video) are hardware accelerated? - together.jolla.com </ref>,?
Wired video out,<ref></ref>,<ref></ref> or VGA <ref></ref> 576p/480p via component<ref></ref> or composite;<ref></ref>,USB<ref></ref>,1080p via microHDMI <ref></ref> SlimPort (BlackBerry Passport)<ref></ref>,,<ref>Any video output possibility? </ref>
Wired digital audio output,USB Audio<ref>Android 5.0 Lollipop Features List: What's new? </ref>,<ref>iOS 7 expands digital USB audio use with iPhone/iPod Touch </ref>,<ref>External Audio DAC support from USB OTG </ref>,USB Audio,,
Wireless video/audio streaming to set top boxes/TVs/speakers,Miracast <ref></ref> but DLNA<ref>Android Issue 11412: Support DLNA in media player . code.google.com (2010-09-22). Retrieved on 2012-07-03.</ref> only available on selected devices,<ref></ref>,on some devices<ref></ref>,DLNA <ref></ref> 10.2+ Miracast<ref></ref> on some devices<ref></ref>,<ref>Play media file in Samsung Wave from PC / Remote Media Server (AllShare-DLNA) . Youtube.com (2011-02-18). Retrieved on 2012-07-03.</ref>,?
Media player on-device playlist creation,<ref>Android 101: How To Create a Playlist . Youtube.com (2011-04-08). Retrieved on 2012-07-03.</ref>,<ref name="iPhoneTips"/>,<ref></ref>,,?,
Media player video scrubbing,,,<ref></ref>,?,?,?,?
Media player audio scrubbing,,,</ref>}},?,?,?,?
Media player fine scrubbing,No <ref></ref> 3rd party software like VLC media player  basic fine scrubbing removed on 4+<ref></ref>,<ref></ref>,,?,?,?,?
Media player double speed playing,<ref>PlaybackParams | Android Developers </ref>,<ref></ref>,<ref></ref>,?,?,?,?
