Camera model,Viewfinder,Video assist
Eyemo 71K,Originally parallax  but reflex conversions frequently use Arri eyepiece accessories.,[added]
Arriflex 35-2C,Fixed eyepiece on camera door; 6.5x magnified image. Interchangeable doors for pivoting or anamorphic viewfinders available. A periscope attachment accessory can also be used for odd angles  but will slightly crop the frame in the viewfinder.,[added]
Arriflex 35BL-1,Standard and anamorphic extension tubes; eyepiece rotates 90° above and below level with continuous upright image.,[added]
Panaflex-X,Fixed angle and includes integrated anamorphic switch and contrast viewing filters (ND .6 and .9). Short  medium and long eyepieces; all can be heated and have manual iris. Medium and long eyepieces include extra magnifier switch.,[added]
Arriflex 35BL-2,Standard and anamorphic extension tubes; eyepiece rotates 90° above and below level with continuous upright image.,[added]
Panaflex Gold II,Rotates 360° vertically with continuously upright image and includes integrated anamorphic switch and contrast viewing filters (ND .6 and .9). Short  medium and long eyepieces; all can be heated and have manual iris. Medium and long eyepieces include extra magnifier switch.,[added]
Arriflex 35BL-3,Standard and anamorphic extension tubes; eyepiece rotates 90° above and below level with continuous upright image.,[added]
Arriflex 35-3C,6.5x magnified image; doors can be changed between fixed eyepiece  210° rotating eyepiece  and offset eyepiece.,[added]
Moviecam SuperAmerica,Spherical and anamorphic short eyepieces  spherical long eyepiece  and long eyepiece with anamorphic switch. Orientable viewfinder block also allows rotation from left to right of and extension away from the camera  but standard viewfinder does not. Both can rotate 360° vertically  offer continuous upright image  and include an integrated contrast viewing filter (ND .6)  heated eyepiece  and manual iris. 6.1x magnification  with 2.4x zoom available on long eyepieces.,[added]
Arriflex 35BL-4,Super Wide Angle eyepiece with 6.5x magnification and manual iris. Standard and anamorphic extension tubes  as well as a longer standard tube with switchable contrast viewing filter and 2x zoom; eyepiece rotates 90° above and below level with continuous upright image. Bigger exit pupil for brighter image than older BL models.,[added]
Panaflex Platinum,Rotates 360° vertically with continuously upright image and includes integrated anamorphic switch and contrast viewing filters (ND .6 and .9). Short  medium and long eyepieces; all can be heated and have manual iris. Medium and long eyepieces include extra magnifier switch.,[added]
