Distribution,Target Boot Time,Target Users,Specific Supported Hardware
Aurora 3.0,,,,,,
EasyPeasy 1.6,,,LIVE Medium,Beginner  highly mobile netbook users.,,
Eeedora<ref name="Eeedora project at Google Code" />,,,,,,
Firefly Linux 1.0 Beta 1,,,,,,
Joli OS 1.2,,,,,,
Kuki Linux 2.0,,,,,,
Linux4One 1.5,40 seconds<ref>Features of Light version of Linux4One</ref>,,,,,
Manjaro Netbook Edition,,,,,,
Moblin 2.0,5 seconds<ref>Fast boot in Moblin page </ref><ref>Youtube video showing Moblin 2.0 prerelease booting in 5 seconds.</ref>,,,,,
OpenGeeeU 8.10,,,,,,
Puppeee Linux 4.3X,30s,Loads to RAM,,,Layered filesystem - caches writes in RAM,Lightweight kernel compiled for EeePCs only
Ubuntu Netbook Edition 10.10,,,,,,
