Software,Type,Version,Operating systems,Developer,License,FDA cleared,Supported Devices
BetterFly,Neurofeedback,Clinic 2.0; Home 2.0,Windows,BetterFly Neurofeedback,[empty],Classification by device,U-WIZ  PocketNeurobics PendantEEG  BrainMaster 2EB
BioEra,Biofeedback: visual designer,2.0,Windows  Android,PROATECH LLC,[empty],No (but basis of Cygnet and others),Pocket Neurobics <ref name="Note2">Multiple NON-FDA-cleared devices</ref> BrainQuiry <ref name="Note4">Status Unknown</ref> NeuroAmp <ref name="Note5">FDA-cleared device</ref> Neurobit Optima   Brainmaster <ref name="Note1" /> QDS<ref name="Note4" />
BioExplorer,Neurofeedback,1.5,Windows,Cyberevolution  Larry Janow,[empty],No "Intended for personal use...",Brainmaster <ref name="Note1" /> BrainQuiry <ref name="Note4" /> NeuroAmp <ref name="Note5" /> Neurobit Optima   J&J <ref name="Note1" /> NeuroSky <ref name="Note4" />  Pocket Neurobics <ref name="Note2" /> QDS <ref name="Note4" /> Telediagnostic Systems<ref name="Note1" />
BioGraph Infiniti,Neurofeedback/Biofeedback,6.1.0,Windows,Thought Technology Ltd  Dr. Hal Myers,[empty],Yes,Thought Technology<ref name="Note1">Multiple FDA-cleared devices</ref>
BioTrace+,Neurofeedback  Biofeedback  QEEG,2015,Windows,Mind Media B.V.,[empty],Medical class II,NeXus by Mind Media<ref name="Note4" /> 4  10 (MKII)  32
Brainathalon,Game,[empty],Java,Amy Palke,[empty],No,[empty]
BrainBay,Neurofeedback: MIDI  particle display,[empty],Windows,Chris Veigl and Jeremy Wilkerson,[empty],No,Neurobit Optima and more
BrainFeedback Pro,Neurofeedback,v12,Windows,Deymed Diagnostic,[empty],Yes,Deymed
BrainMaster,Neurofeedback  Biofeedback  and QEEG; optional live z-scores (ANI or BrainDX)  Live sLORETA Projector.,various including BrainAvatar. Third-party SW includes: NeuroGuide  BioExplorer  BioERA  BrainPaint  SKIL  LENS  EEGer  BrainTrain  OpenVibe  EEGStudio,Windows,BrainMaster Technologies  Inc. Thomas F. Collura,[empty],FDA 510(k) clearance  ISO 13485 certification  and CE marking in Europe,Brainmaster<ref name="Note1" /> 2E  2EW  2EB  Atlantis  Discovery  MINI-Q
[added],[added],[added],[added],[added],[added],[added],[added]
[http://brainpaint.com/ BrainPaint®],Evidence Based Neurofeedback  with a validated [https://www.ncbi.nlm.nih.gov/pubmed/16161729 [1]] and replicated [http://psycnet.apa.org/psycinfo/2014-35859-001/ [2]] symptom based evaluation tool.,2.0 <br /> Includes BrainPrint™  Alpha Theta  Brain-Heart Coherence  Couples Synchrony  Nonlinear  Slow Cortical Potential  Coherence training and all other frequency rewards and inhibits.,N/A,BrainPaint  Inc. William C. Scott,[empty],FDA 510(k) clearance  ISO 13485 certification  and CE marking in Europe,Brainmaster<ref name="Note1" /> 2E  2EW  2EB  Atlantis  Discovery
BWView,Brainwave viewer,1.0.5,Linux  Windows,Jim Peters,[empty],No,[empty]
Cygnet,Neurofeedback: one- and two channel frequency band training and ILF (SCP) training according to Othmer  Alpha-Theta training. With additional Mitsar device or x23 accessory also tomographic (sLoreta) neurofeedback. Add-ons for sLoreta feedback and flexible system configuration fully approved but not available to clinicians. For research institutions only. Biofeedback: pIR far-infrared triple-sensor feedback,2.0,Windows,BEE Systems LLC / Corscience,[empty],FDA class II  CE class IIa; Software approved including feedback animations by SomaticVision; accessory to EEG NeuroAmp,NeuroAmp<ref name="Note5" /> plus add-ons: NeuroAmp x23 <ref name="Note5" /> pIRx3 <ref name="Note5" /> tactile feedback<ref name="Note5" />
Dual Drive Pro,Biofeedback GSR & Temp,3.0,Windows,Somatic Vision Inc.,[empty],Unknown (not EEG),[empty]
eBioo,Neurofeedback & Analysis<br /> one-  two- and four channel training  <br /> Amplitude-  relative Amplitude-  Coherence- <br /> Band-Ratio-  Asymmetry-inhibit-Training <br /> and more ..,1.5,Windows,Soft-dynamics  Geoffrey Arens,[empty],No – not stated or in FDA database,Pocket Neurobics <ref name="Note2" /> Neurobit Optima <ref name="Note4" /> Brainmaster<ref name="Note1" />
EEGer4,Neurofeedback & Analysis,4.3.0,Windows,EEG Software LLC,[empty],FDA Class II,J&J <ref name="Note1" /> Telediagnostic Systems <ref name="Note1" /> Phoenix Neuro Systems <ref name="Note1" /> Thought Technology <ref name="Note1" /> Brainmaster <ref name="Note1" /> Brainquiry <ref name="Note4" /> Pocket Neurobics <ref name="Note2" /> external analog amplifiers
ElectricGuru,Neurofeedback,0.4,Windows,Rob Sacks,[empty],No,[empty]
EventIDE,Visual environment for designing behavioral experiments and mental games with real-time neurofeedback control and signal processing.,1.0,Windows,Okazolab Ltd,[empty],No,The majority of popular bio-amplifiers
LENSware,Neurofeedback &Analysis,3,Windows,OchsLabs,Proprietary,FDA Class II Exempt,Ochslabs A200 amplifier
Mind WorkStation,Neurofeedback  Biofeedback  and EEG-Driven Entrainment,1.3,Windows,Transparent Corporation,[empty],No but can use Bioexplorer  Biograph  BioEra links,See Bioexplorer  Biograph  BioEra
MindReflector,Neurofeedback,1.1,Windows,MindReflector Technologies  LLC,[empty],No,NeuroSky<ref name="Note4" />
