[empty],Creator,Development started,First public release,Latest stable version,Stable release date,Cost (USD),License,Notes
ADMB,David Fournier  ADMB Project,1989,1990,12.0,[empty],[empty],BSD 3-clause (aka new) License,Automatic differentiation makes it well suited to complex minimization problems
Analytica,Lumina Decision Systems,1982 (Demos),[empty],4.6,[empty],Free (Analytica Free 101)  $995 (Professional)  $2795 (Enterprise),Proprietary,A numerical modeling environment with a declarative and visual programming language based on influence diagrams.
Ch,SoftIntegration,[empty],[empty],7.5.1,[empty],$399 (commercial) / $199 (academic) / Free (student),Proprietary,C/C++ based numerical computing and graphical plotting<ref>Ch Scientific Numerical Computing</ref>
DADiSP,DSP Development,1984,1987,6.7 B02,[empty],[empty],Proprietary,Numeric computations for science and engineering featuring a spreadsheet like interface.
Dyalog APL,Dyalog Ltd.,1981,1983,17.0,[empty],£850/year or 2% royalty (free for non-commercial use),Proprietary,A modern dialect of APL  enhanced with features for functional and object-oriented programming.
Euler Math Toolbox,René Grothmann,1987,1988,2018-11-16,[empty],[empty],GPL,Also a computer algebra system through interface with Maxima
Fityk,Marcin Wojdyr,[empty],2002,1.3.1,[empty],[empty],GPL,interactive graphics  scriptable  specialized in curve fitting and peak fitting  2D only
FlexPro,Weisang GmbH,n/a,1991,2017,2017,[empty],Proprietary,Dynamic  interactive 2D/3D diagrams  programmable  VBA  high performances  multicore compatible  large data sets.
FreeMat,Samit Basu,[empty],2004,4.2,[empty],[empty],GPL,Codeless interface to external C  C++  and Fortran code. Mostly compatible with MATLAB.
GAUSS,Aptech Systems,[empty],1984,17,[empty],[empty],Proprietary,[empty]
GNU Data Language,Marc Schellens,[empty],2004,0.9.7,[empty],[empty],GPL,Aimed as a drop-in replacement for IDL/PV-WAVE
GNU MCSim,Frederic Y. Bois & Don Maszle,1991,1993,6.0.0,[empty],[empty],GPL,General simulation and Monte Carlo sampling software
GNU Octave,John W. Eaton,1988,1993,4.4.0,[empty],[empty],GPL,General numerical computing package with lots of extension modules. Syntax mostly compatible with MATLAB
IGOR Pro,WaveMetrics,1986,1988,7.00,[empty],[empty],Proprietary,interactive graphics  programmable  2D/3D  used for science and engineering  large data sets.
J,Jsoftware,1989,1990,J806,[empty],[empty],GPL,online access to: J Application Library (JAL)
Julia,Jeff Bezanson  Stefan Karpinski  Viral B. Shah  and other<ref>Contributors to JuliaLang/julia - GitHub</ref> contributors,2009,2012,1.0.2,[empty],[empty],MIT License,Direct calls of C functions (no wrappers needed). Designed for cloud parallel computing with LLVM JIT as a backend. Lightweight "green" threading (coroutines). Efficient support for Unicode. Shell-like capabilities for managing other processes. Lisp-like macros and other metaprogramming facilities.
LabVIEW,National Instruments,1985,1986,2016,[empty],[empty],Proprietary,Graphical  and textual through formula nodes  mathscript and .m file scripts<ref></ref>
Maple,Maplesoft,1980,1982,2018,[empty],[empty],Proprietary,Mainly a computer algebra system
Mathcad,Parametric Technology Corporation,1985,1986,access-date=2018-08-12}}</ref>,[empty],[empty],Proprietary,[empty]
Mathematica,Wolfram Research,1986,1988,[empty],[empty],[empty],Proprietary,Also computer algebra system
