Office suite,Windows,macOS,GNU/Linux,BSD,Unix
Ability Office,,,,,
Apache OpenOffice,,,,,
Breadbox Office,,,,,
Calligra Suite,,,,,
Feng Office Community Edition,,,,,
Gobe Productive,,,,,
Google Apps for Work,,,,,
IBM Lotus Symphony,,,,,
iWork,(iCloud version),,(iCloud version),(iCloud version),(iCloud version)
LibreOffice,,,,,
Lotus SmartSuite,,,(with Wine),,
MarinerPak,,,,,
Microsoft Office,,(not all features available  e.g. Project  Visio  Access),(with Wine),,
Microsoft Works,,(4.0; Classic only),(with Wine),,
MobiSystems OfficeSuite,,,,,
NeoOffice,,,,,
ONLYOFFICE,,,,,
SoftMaker Office,,,,(2006),
StarOffice,,(Intel only),,,
TeXmacs,,,,,
TeamLab,,,,,
ThinkFree Office,,,,,
Tiki Wiki CMS Groupware,,,,,
WordPerfect Office,,,(Ver. 2000),,
WPS Office (Kingsoft Office),,,,,
Zoho Office Suite,,,,,
Office suite,Windows,macOS,GNU/Linux,BSD,Unix
