Provider,Win.,Linux,Mac,Android,iOS,Encrypted storage,Zero knowledge,Secure Key Management<ref>https://www.grc.com/sn/sn-349.htm</ref>,Limited MB plan,Unlimited MB plan,$/MB plan,Unlimited BW,Provider,Cloud hosted Net Drive,Sync,Autodetect changes,Public file hosting,physical media restore,Server location(s),Free online storage (non-trial),Maximum per-file size,External hard drive support,Hybrid Option,Green Hosting
Acronis,[empty],[empty],[empty],[empty],[empty],[empty],<ref></ref>,[empty],(Enterprise),(Only win/mac),[empty],[empty],Acronis,[empty],[empty],[empty],[empty],[empty], ,[empty],[empty],[empty],[empty],[empty]
Backblaze,[empty],[empty],[empty],[empty],[empty],<ref name="backblaze1">How Backblaze uses Encryption to Protect your Data</ref>,<ref name="backblaze1"/> Company must be given passphrase (to private key) to restore any data.,No,[empty],[empty],[empty],[empty],Backblaze,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Barracuda Backup Service,[empty],[empty],[empty],[empty],[empty],<ref></ref>,[empty],?,fee per computer,[empty],[empty],[empty],Barracuda Backup Service,[empty],[empty],[empty],[empty],[empty],, Canada  APAC ,[empty],[empty],[empty],[empty],[empty]
Baidu Cloud,[empty],[empty],[empty],[empty],[empty],<ref></ref>,[empty],?,[empty],[empty],[empty],[empty],Baidu,[empty],[empty],[empty],[empty],[empty],[empty],[empty],<ref>https://yun.baidu.com/buy/center?tag=4&from=#question=diff-vip</ref>,[empty],[empty],[empty]
Box,[empty],[empty],[empty],[empty],[empty],<ref name="autogenerated1"></ref>,<ref name="autogenerated1"/>,?,[empty],[empty],[empty],[empty],Box,<ref></ref>,<ref></ref>,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Carbonite,[empty],[empty],[empty],[empty],[empty],[empty],, optional for Windows only<ref>Managing Your Private Encryption Key</ref>,?,(Business only),(Home only),<ref>Bandwidth Allocation   retrieved 2012-01-25</ref>,<ref></ref>,Carbonite,[empty],[empty],[empty],<ref>HomePremier and Business plans only: </ref>,[empty],[empty],[empty],[empty],<ref>HomePlus  HomePremier and Business plans only: </ref>,[empty],[empty]
Provider,Win.,Linux,Mac,Android,iOS,Encrypted storage,Zero knowledge,Secure Key Management,Limited MB plan,Unlimited MB plan,$/MB plan,Unlimited BW,Provider,Cloud hosted Net Drive,Sync,Autodetect changes,Public file hosting,physical media restore,Server location,Free online storage (non-trial),Maximum per-file size,External hard drive support,Hybrid Option,Green Hosting
CloudBerry Backup,[empty],[empty],[empty],[empty],[empty],<ref name="CBB">CloudBerry Backup FAQ page</ref>,<ref name="CBB"/>,[empty],[empty],[empty],[empty],[empty],CloudBerry Backup,[empty],[empty],[empty],[empty],[empty],Global,[empty],[empty],[empty],[empty],[empty]
CloudMe,[empty],[empty],[empty],[empty],[empty],, but 3rd party apps available,[empty],?,[empty],[empty],[empty],[empty],CloudMe,<ref></ref>,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Comodo Backup,[empty],[empty],[empty],[empty],[empty],<ref></ref>,[empty],?,[empty],[empty],(5),[empty],Comodo Backup,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
CrashPlan,[empty],[empty],[empty],[empty],[empty],<ref name="crashplan1"></ref>,, except for web restore<ref name="crashplan2"></ref>,[empty],[empty],[empty],[empty],<ref>http://support.crashplan.com/doku.php/faq/mozy#are_crashplan_unlimited_plans_really_unlimited  throttled by setting by default http://support.crashplan.com/doku.php/reference_guide/settings#network</ref>,CrashPlan,[empty],[empty],<ref></ref>,[empty],[empty],, <ref></ref>,[empty],[empty],<ref>https://support.code42.com/CrashPlan/4/Backup/Back_up_external_hard_drives</ref>,[empty],[empty]
Dropbox,[empty],[empty],[empty],[empty],[empty],[empty],<ref>Dropbox Lied to Users About Data Security  Complaint to FTC Alleges | Threat Level | Wired.com</ref>,?,[empty],[empty],[empty],[empty],Dropbox,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
