Name,License,Kernel type,Kernel programming language,Kernel thread support,OS family,Oldest non-EOL version,Forks
Linux,[empty],Monolithic with modules,C,1:1,Unix-like,2.6.32.61,[empty]
FreeBSD,[empty],Monolithic with modules,C,1:1,BSD  Unix-like,8.4,DragonFly BSD
OpenBSD,[empty],Monolithic,C,1:1,BSD  Unix-like,5.9,MirOS
NetBSD,[empty],Monolithic with modules,C,1:1,BSD  Unix-like,6.0,OpenBSD
DragonFly BSD,[empty],Hybrid,C,1:1,BSD  Unix-like,[empty],[empty]
OpenSolaris  illumos,[empty],Monolithic with modules,C,1:1  M:N,Unix,[empty],[empty]
AuroraUX,[empty],Monolithic with modules,C  Ada,1:1  M:N,Unix,[empty],[empty]
Darwin  OpenDarwin,[empty],Hybrid,C  C++,1:1,BSD  Unix  Unix-like  OS X,[empty],[empty]
MINIX,[empty],Microkernel,C,[empty],Unix-like,[empty],[empty]
RedoxOS,[empty],Microkernel,Rust,[empty],Unix-like,[empty],[empty]
FreeRTOS,[empty],RTOS,C,[empty],RTOS,[empty],[empty]
FreeDOS,[empty],Monolithic,C,[empty],DOS,1.1,[empty]
Genode,[empty],Microkernel,C++,1:1,Genode,[empty],[empty]
Haiku,[empty],Hybrid,C  C++,[empty],BeOS,[empty],TiltOS
House,[empty],[empty],Haskell,[empty],own/original,[empty],[empty]
KolibriOS,[empty],Monolithic,ASM,[empty],MenuetOS,[empty],[empty]
MenuetOS,[empty],Monolithic,ASM,[empty],own/original,[empty],KolibriOS
GNU,[empty],(Hurd kernel) or Monolithic (Linux-libre kernel  fork of Linux kernel  and other kernels which are not part of the GNU Project),C,1:1,Unix-like,2.4 on Linux-libre kernel (not on Hurd kernel),Linux
ReactOS,[empty],Hybrid,C  C++,[empty],Windows-like,[empty],[empty]
L4  Fiasco  Pistachio,[empty],Microkernel,C++,[empty],L4,[empty],[empty]
Plan 9,[empty],Hybrid,C,1:1  1:M Cothread style.,own  Unix informed,[empty],Inferno  Plan B
AROS,[empty],Exokernel,C,[empty],AmigaOS,[empty],[empty]
Syllable,[empty],Monolithic with modules,C  C++,1:1,Unix-like  BeOS  AmigaOS  POSIX,[empty],[empty]
Inferno,[empty],[empty],C,[empty],Plan 9,[empty],OzInferno
NuttX,[empty],RTOS,C,[empty],RTOS,[empty],[empty]
eCos,[empty],RTOS,C  C++,[empty],RTOS,[empty],[empty]
RTEMS,[empty],RTOS,C and ASM with native support for other languages including C++ and Ada,POSIX  RTEID/ORKID  uITRON,RTOS,4.7.1,[empty]
HelenOS,[empty],Microkernel,C,M:N,own/original,[empty],[empty]
E/OS,[empty],Monolithic,ASM  C,1:1,BeOS  Unix-like,[empty],[empty]
TempleOS,[empty],Monolithic,HolyC  C  C++,[empty],Commodore 64-like,[empty],[empty]
K42,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
UnixLite,[empty],[empty],[empty],[empty],[empty],[empty],-->
Name,License,Kernel type,Kernel programming language,Kernel thread support,OS family,Oldest non-EOL version,Forks
