Driver,802.11,Bus interface,WEP,WPA,WPA2,Monitor mode,Master mode,Ad-Hoc mode
acx,802.11a?  802.11b  802.11g,Cardbus  PCI,,?,?,?,?,
an,802.11b,Cardbus  PCI  ISA,,?,?,?,?,
arl,N/A,ISA,?,?,?,?,?,?
ath,802.11a  802.11b  802.11g  802.11n,Cardbus  PCI  Mini PCI,,,,,,
awi,N/A,PC Card,?,?,?,?,,
bwi,802.11b  802.11g,Cardbus  PCI,,,,,,
cnw,N/A,Cardbus,?,?,?,?,?,?
ipw,802.11b,Mini PCI,,,,,,
iwi,802.11a  802.11b  802.11g,Mini PCI,,,,,,
iwn,802.11a  802.11b  802.11g  802.11n,Mini PCI,,,,,,
malo,802.11b  802.11g,PCI,,,,,,
mwl,802.11a  802.11b  802.11g  802.11n,PCI,,,,,,
ral,802.11a  802.11b  802.11g,Cardbus  PCI  Mini PCI,,,,,,
ray,N/A,PC Card,?,?,?,,,
rum,802.11a  802.11b  802.11g,USB,,,,,,
run,802.11a  802.11b  802.11g,USB,,,,,,
uath,802.11b  802.11g,USB,,,,,,
upgt,802.11b  802.11g,USB,,,,,,
ural,802.11b  802.11g,USB,,,,,,
urtw,802.11b  802.11g,USB,,,,,,
wi,802.11b,PC Card  Cardbus  PCI,,(since 8.0),(since 8.0),(since 8.0?),,
wpi,802.11a  802.11b  802.11g,Mini PCI,,,,,,
zyd,802.11b  802.11g,USB,,,,,,
