Family,Country,[empty],Payload (kg),Cost (US$  millions),Launches reaching…,Status,Date of flight,Notes,Refs
LEO,GTO,TLI,Total,Space,Any orbit,Target orbit,First,Last,[added]
Angara 1.2,[empty],Khrunichev,[empty],--,--,[empty],[empty],[empty],[empty]
Angara A5,[empty],Khrunichev,–35.000,–12.500,--,--,[empty],[empty],[empty]
Antares,[empty],Orbital ATK,[empty],--,--,[empty],[empty],[empty],[empty]
Ariane 1-2-3,[empty],Aérospatiale,[empty],[empty],[empty],--,[empty],[empty],[empty]
Ariane 4,[empty],Aérospatiale,[empty],[empty],[empty],--,[empty],[empty],[empty]
Ariane 5,[empty],Airbus,[empty],<ref name=sf101-20160824></ref>,[empty],–220,[empty],[empty],[empty]
Ariane 6,[empty],Airbus Safran,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ASLV,[empty],ISRO,[empty],--,--,--,[empty],[empty],[empty]
Athena I & II,[empty],Lockheed ATK,[empty],--,[empty],--,[empty],[empty],[empty]
Atlas A-B-C-D-E-F-G Atlas I,[empty],Lockheed,[empty],[empty],--,--,[empty],[empty],[empty]
Atlas II,[empty],Lockheed,[empty],[empty],--,--,[empty],[empty],[empty]
Atlas III,[empty],Lockheed,[empty],[empty],--,--,[empty],[empty],[empty]
Atlas V,[empty],ULA,[empty],[empty],[empty],–153,[empty],[empty],[empty]
BFR,[empty],SpaceX,+,--,+,--,[empty],[empty],[empty]
Black Arrow,[empty],RAE Westland,[empty],--,--,--,[empty],[empty],[empty]
Delta,[empty],Douglas,[empty],[empty],--,--,[empty],[empty],[empty]
Delta II,[empty],ULA,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Delta III,[empty],Boeing,[empty],[empty],--,--,[empty],[empty],[empty]
Delta IV,[empty],ULA,[empty],[empty],[empty],--,[empty],[empty],[empty]
Diamant,[empty],SEREB,[empty],--,--,--,[empty],[empty],[empty]
R-36M Dnepr,[empty],Yuzhmash,[empty],--,[empty],[empty],[empty],[empty],[empty]
Electron,[empty],Rocket Lab,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Energia,[empty],NPO Energia,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Epsilon,[empty],IHI Corporation,[empty],--,--,--,[empty],[empty],[empty]
Falcon 1,[empty],SpaceX,<ref name="astronautix_falcon_1"></ref>,--,--,<ref name="astronautix_falcon_1"/>,<ref name=sfn20090714></ref>,<ref name="astronautix_falcon_1"/>,<ref name="astronautix_falcon_1"/>
Falcon 9 v1.0  v1.1  FT  B5,[empty],SpaceX,[empty],[empty],--,[empty],[empty],[empty],[empty]
Falcon Heavy,[empty],SpaceX,[empty],[empty],--,–150,[empty],[empty],[empty]
GSLV Mk.I,[empty],ISRO,[empty],[empty],--,--,[empty],[empty],[empty]
GSLV Mk.II,[empty],ISRO,[empty],[empty],--,--,[empty],[empty],[empty]
GSLV Mk.III (LVM3),[empty],ISRO,[empty],[empty],--,--,[empty],[empty],[empty]
H-I,[empty],Mitsubishi,[empty],[empty],--,--,[empty],[empty],[empty]
H-II  IIA & IIB,[empty],Mitsubishi,[empty],[empty],--,}},[empty],[empty],[empty]
Haas,[empty],ARCA,[empty],[empty],--,--,[empty],[empty],[empty]
J-I,[empty],IHI Corporation Nissan Motors,[empty],--,--,--,[empty],[empty],[empty]
R-12 & R-14 Kosmos,[empty],Yuzhnoye Polyot,[empty],--,--,[empty],[empty],[empty],[empty]
Kaituozhe,[empty],CALT,[empty],--,--,--,[empty],[empty],[empty]
Lambda 4S,[empty],Nissan ISAS,[empty],--,--,--,[empty],[empty],[empty]
Long March 1,[empty],CALT,[empty],[empty],--,--,[empty],[empty],[empty]
DF-5 Long March 2-3-4,[empty],CALT,[empty],[empty],[empty],--,[empty],[empty],[empty]
Long March 5,[empty],CALT,[empty],[empty],[empty],--,[empty],[empty],[empty]
Long March 6,[empty],CALT,[empty],--,--,--,[empty],[empty],[empty]
Long March 7,[empty],CALT,[empty],--,--,--,[empty],[empty],[empty]
Minotaur I,[empty],Orbital ATK,[empty],--,--,--,[empty],[empty],[empty]
Minotaur IV & V,[empty],Orbital ATK,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Mu 1-3-4,[empty],Nissan Motor IHI,[empty],--,--,--,[empty],[empty],[empty]
Mu 5,[empty],Nissan Motor IHI,[empty],--,--,--,[empty],[empty],[empty]
N1,[empty],NPO Energia,[empty],--,[empty],--,[empty],[empty],[empty]
N-I & II,[empty],Mitsubishi,[empty],[empty],--,--,[empty],[empty],[empty]
Naro,[empty],Khrunichev KARI,[empty],--,--,--,[empty],[empty],[empty]
Pegasus,[empty],Orbital ATK,[empty],--,--,--,[empty],[empty],[empty]
UR-500 Proton,[empty],Khrunichev,[empty],[empty],[empty],(Proton-M),[empty],[empty],[empty]
PSLV,[empty],ISRO,[empty],[empty],--,--,[empty],[empty],[empty]
UR-100N Rokot Strela,[empty],Eurockot Khrunichev,[empty],--,--,--,[empty],[empty],[empty]
Safir,[empty],ISA,[empty],--,--,--,[empty],[empty],[empty]
Saturn I & IB,[empty],Chrysler Douglas,[empty],--,--,[empty],[empty],[empty],[empty]
Saturn V,[empty],Boeing North American Douglas,[empty],--,[empty],[empty],[empty],[empty],[empty]
Scout,[empty],US Air Force NASA,[empty],--,--,--,[empty],[empty],[empty]
Shavit,[empty],IAI,[empty],--,--,[empty],[empty],[empty],[empty]
R-29 Shtil Volna,[empty],Makeyev,[empty],--,--,--,[empty],[empty],[empty]
R-7 Semyorka Soyuz,[empty],RSC Energia TsSKB-Progress,[empty],[empty],[empty],--,[empty],[empty],[empty]
Simorgh,[empty],ISA,[empty],--,--,--,[empty],[empty],[empty]
SLS,[empty],Orbital ATK Boeing United Launch Alliance Aerojet Rocketdyne,to 130.000,--,--,--,[empty],[empty],[empty]
SLV,[empty],ISRO,[empty],--,--,--,[empty],[empty],[empty]
SS-520,[empty],IHI Aerospace,[empty],--,--,--,[empty],[empty],[empty]
Small Satellite Launch Vehicle,[empty],ISRO,[empty],[empty],--,--,[empty],[empty],[empty]
STS Space Shuttle,[empty],Alliant Martin Marietta Rockwell,[empty],[empty],--,[empty],[empty],[empty],[empty]
RT-2PM Start-1,[empty],MITT,[empty],--,--,--,[empty],[empty],[empty]
Taurus / Minotaur-C,[empty],Orbital Sciences,[empty],--,--,--,[empty],[empty],[empty]
Thor,[empty],Douglas,[empty],--,[empty],--,[empty],[empty],[empty]
LGM-25C Titan I-II-III-IV,[empty],Martin Marietta,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
R-36 Tsyklon,[empty],Yuzhmash,[empty],--,--,--,[empty],[empty],[empty]
Unified Launch Vehicle,[empty],ISRO,[empty],[empty],--,--,[empty],[empty],[empty]
Unha-3,[empty],KCST,[empty],--,--,--,[empty],[empty],[empty]
Vanguard,[empty],Martin,[empty],--,--,--,[empty],[empty],[empty]
Vega,[empty],Avio,[empty],--,--,[empty],[empty],[empty],[empty]
VLM,[empty],CTA,[empty],--,--,--,[empty],[empty],[empty]
Vulcan,[empty],ULA,17.800–34.900,7.400–16.300,--,[empty],[empty],[empty],[empty]
Zenit,[empty],Yuzhnoye,[empty],[empty],[empty],--,[empty],[empty],[empty]
