[empty],Creator,Latest release,User interface,Software license,Cost
Analyze This,Comoe Networks,[empty],Web GUI,N/A,[added]
Cain and Abel,Massimiliano Montoro,4.9.56 / April 7  2014,GUI,[empty],[added]
Capsa,Colasoft,11.1 / <ref></ref>,GUI,[empty],<ref></ref>
Carnivore,Federal Bureau of Investigation,[empty],[empty],N/A,[added]
Charles Web Debugging Proxy,Karl van Randow,4.1.4 / July 10  2017,GUI,[empty],$30-$50 (Free Trial)
Clarified Analyzer,Clarified Networks,[empty],GUI,[empty],[added]
Clusterpoint Network Traffic Surveillance System,Clusterpoint,[empty],web GUI,[empty],[added]
CommView,TamoSoft,6.5,GUI,[empty],[empty]
dSniff,Dug Song,2.3 / December 17  2000<ref></ref>,CLI,[empty],[empty]
EtherApe,Juan Toledo,0.9.14 / <ref></ref>,GUI,[empty],[empty]
Ettercap,ALoR and NaGA,0.8.2-Ferri / March 14  2015<ref></ref>,Both,[empty],[empty]
Fiddler,Eric Lawrence,5.0.20182 / 28 June 2018,GUI,[empty],[empty]
justniffer,The Justniffer team,0.5.15 / March 21  2016<ref></ref>,CLI,[empty],[empty]
Kismet,Mike Kershaw (dragorn),2016-01-R1 / January 31  2016<ref></ref>,CLI,[empty],[empty]
Microsoft Message Analyzer,Microsoft,1.4 / October 28  2016 <ref>https://www.microsoft.com/en-us/download/details.aspx?id=44226</ref>,GUI,[empty],[empty]
Microsoft Network Monitor,Microsoft,3.4 / June 24  2010,GUI,[empty],[empty]
netsniff-ng,Daniel Borkmann,0.6.2 / November 7  2016,CLI,[empty],[empty]
ngrep,Jordan Ritter,1.45 (11/18/06),CLI,[empty],[empty]
Observer,Viavi Solutions (formerly Network Instruments),[empty],GUI,[empty],[empty]
OmniPeek (formerly AiroPeek  EtherPeek),Savvius (formerly WildPackets),11.1 / November  2017,GUI,[empty],<ref></ref>
SteelCentral Transaction Analyzer,OPNET Technologies/Riverbed Technology,17.0.T-PL1 / June 9  2014<ref>https://support.riverbed.com/content/support/software/steelcentral-npm/transaction-analyzer.html</ref>,GUI,[empty],[empty]
snoop,Sun Microsystems,Solaris 10 / December 11  2006,CLI,[empty],[empty]
tcpdump,The Tcpdump team,4.8.1 / <ref></ref>,CLI,[empty],[empty]
Tranalyzer,The Tranalyzer team,0.7.5 / <ref></ref>,CLI,[empty],[empty]
Wireshark (formerly Ethereal),The Wireshark team,2.4.5 / <ref>https://www.wireshark.org/news/20180223.html</ref>,Both,[empty],[empty]
Xplico,The Xplico team,1.2.0 / <ref>https://www.xplico.org/archives/1513</ref>,Both,[empty],[empty]
