Name,Parsing algorithm,Input grammar notation,Output languages,Grammar  code,Lexer,Development platform,IDE,License
ANTLR4,ALL(*)<ref></ref>,EBNF,C#  Java  Python  JavaScript  C++  Swift  Go,mixed,generated,Java Virtual Machine,[empty],BSD
ANTLR3,LL(*),EBNF,ActionScript  Ada95  C  C++  C#  Java  JavaScript  Objective-C  Perl  Python  Ruby,mixed,generated,Java Virtual Machine,[empty],BSD
APG,Recursive descent  Backtracking,ABNF,C  C++  JavaScript  Java,separate,none,all,[empty],GNU GPL
AXE,Recursive descent,AXE/C++,C++17  C++11,mixed,none,any platform with standard C++17/C++11 compiler,[empty],Boost
Beaver,LALR(1),EBNF,Java,mixed,external,Java Virtual Machine,[empty],BSD
Bison,LALR(1)  LR(1)  IELR(1)  GLR,YACC,C  C++  Java,mixed,external,all,[empty],GNU GPL
Bison++<ref group="note">Bison 1.19 fork</ref>,LALR(1),?,C++,mixed,external,POSIX,[empty],GNU GPL
Bisonc++,LALR(1),?,C++,mixed,external,POSIX,[empty],GNU GPL
BtYacc,Backtracking Bottom-up,?,C++,mixed,external,all,[empty],Public domain
byacc,LALR(1),YACC,C,mixed,external,all,[empty],Public domain
BYACC/J,LALR(1),YACC,C  Java,mixed,external,all,[empty],Public domain
CL-Yacc,LALR(1),Lisp,Common Lisp,mixed,external,all,[empty],MIT
Coco/R,LL(1),EBNF,C  C++  C#  F#  Java  Ada  Object Pascal  Delphi  Modula-2  Oberon  Ruby  Swift  Unicon  Visual Basic .NET,mixed,generated,Java Virtual Machine  .NET Framework  Microsoft Windows  POSIX (depends on output language),[empty],GNU GPL
CookCC,LALR(1),Java annotations,Java,mixed,generated,Java Virtual Machine,[empty],Apache License 2.0
CppCC,LL(k),?,C++,mixed,generated,POSIX,[empty],GNU GPL
CSP,LR(1),?,C++,separate,generated,POSIX,[empty],Apache License 2.0
CUP,LALR(1),?,Java,mixed,external,Java Virtual Machine,[empty],BSD-like
Dragon,LR(1)  LALR(1),?,C++  Java,separate,generated,all,[empty],GNU GPL
eli,LALR(1),?,C,mixed,generated,POSIX,[empty],GNU GPL  GNU LGPL
Epsilon Grammar Studio,LL(*),ABNF,C++,separate,internal,Microsoft Windows,[empty],proprietary
Essence,LR(???),?,Scheme 48,mixed,external,all,[empty],BSD
Eto.Parse,LL(k),BNF  EBNF or C#,N/A (state machine is runtime generated),separate,internal,.NET Framework,[empty],MIT
eyapp,LALR(1),?,Perl,mixed,external or generated,all,[empty],Perl
Frown,LALR(k),?,Haskell 98,mixed,external,all,[empty],GNU GPL
geyacc,LALR(1),?,Eiffel,mixed,external,all,[empty],MIT
GOLD,LALR(1),BNF,x86 assembly language  ANSI C  C#  D  Java  Pascal  Object Pascal  Python  Visual Basic 6  Visual Basic .NET  Visual C++,separate,generated,Microsoft Windows,[empty],Modified Zlib
GPPG,LALR(1),YACC,C#,separate,external,Microsoft Windows,[empty],BSD
Grammatica,LL(k),BNF dialect,C#  Java,separate,generated,Java Virtual Machine,[empty],BSD
HiLexed,LL(*),EBNF or Java,Java,separate,internal,Java Virtual Machine,[empty],GNU LGPL
Hime Parser Generator,LR(1)  LALR(1)  LR(0),BNF dialect,C#  Java  Rust,separate,generated,.NET Framework  Java Virtual Machine,[empty],GNU LGPL
Hyacc,LR(1)  LALR(1)  LR(0),YACC,C,mixed,external,all,[empty],GNU GPL
Irony,LALR(1),C#,N/A (state machine is runtime generated),separate,internal,.NET Framework,[empty],MIT
iyacc,LALR(1),YACC,Icon,mixed,external,all,[empty],GNU GPL
jacc,LALR(1),?,Java,mixed,external,Java Virtual Machine,[empty],BSD
JavaCC,LL(k),EBNF,Java  C++  JavaScript (via GWT compiler)<ref></ref>,mixed,generated,Java Virtual Machine,[empty],BSD
jay,LALR(1),YACC,C#  Java,mixed,none,Java Virtual Machine,[empty],BSD
JFLAP,LL(1)  LALR(1),?,Java,?,?,Java Virtual Machine,[empty],?
JetPAG,LL(k),?,C++,mixed,generated,all,[empty],GNU GPL
JS/CC,LALR(1),EBNF,JavaScript  JScript  ECMAScript,mixed,internal,all,[empty],BSD
KDevelop-PG-Qt,LL(1)  Backtracking  Shunting yard,?,C++,mixed,generated or external,all  KDE,[empty],GNU LGPL
Kelbt,Backtracking LALR(1),?,C++,mixed,generated,POSIX,[empty],GNU GPL
kmyacc,LALR(1),?,C  Java  Perl  JavaScript,mixed,external,all,[empty],GNU GPL
Lapg,LALR(1),?,C  C++  C#  Java  JavaScript,mixed,generated,Java Virtual Machine,[empty],GNU GPL
Lemon,LALR(1),?,C,mixed,external,all,[empty],Public domain
LEPL,Recursive descent,Python,Python (no generation  library),separate,none,all,[empty],MPL/GNU LGPL
Lime,LALR(1),?,PHP,mixed,external,all,[empty],GNU GPL
LISA,LR(?)  LL(?)  LALR(?)  SLR(?),?,Java,mixed,generated,Java Virtual Machine,[empty],Public domain
LLgen,LL(1),?,C,mixed,external,POSIX,[empty],BSD
LLnextgen,LL(1),?,C,mixed,external,all,[empty],GNU GPL
LLLPG,LL(k) + syntactic and semantic predicates,ANTLR-like,C#,mixed,generated (?),.NET Framework  Mono,Visual Studio,GNU LGPL
LPG,Backtracking LALR(k),?,Java,mixed,generated,Java Virtual Machine,[empty],EPL
LRSTAR,LALR(1)  LR(1)  LR(*),EBNF  TBNF or Yacc-like,C++,separate,generated,Windows,Visual Studio,Proprietary
Menhir,LR(1),?,OCaml,mixed,generated,all,[empty],QPL
ML-Yacc,LALR(1),?,ML,mixed,external,all,[empty],?
Monkey,LR(1),?,Java,separate,generated,Java Virtual Machine,[empty],GNU GPL
Msta,LALR(k)  LR(k),YACC  EBNF,C  C++,mixed,external or generated,POSIX  Cygwin,[empty],GNU GPL
MTP (More Than Parsing),LL(1),?,Java,separate,generated,Java Virtual Machine,[empty],GNU GPL
MyParser,LL(*),Markdown,C++11,separate,internal,any platform with standard C++11 compiler,[empty],MIT License
NLT,GLR,C#/BNF-like,C#,mixed,mixed,.NET Framework,[empty],MIT
ocamlyacc,LALR(1),?,OCaml,mixed,external,all,[empty],QPL
olex,LL(1),?,C++,mixed,generated,all,[empty],GNU GPL
parglare,Scannerless LALR(1)/SLR(1)/GLR,BNF-like  Python,N/A (state machine is runtime generated),mixed,none,all,[empty],MIT
Parsec,LL  Backtracking,Haskell,Haskell,mixed,none,all,[empty],BSD
Parse::Yapp,LALR(1),?,Perl,mixed,external,all,[empty],GNU GPL
Parser Objects,LL(k),?,Java,mixed,?,Java Virtual Machine,[empty],zlib
PCCTS,LL,?,C  C++,?,?,all,[empty],?
PLY,LALR(1),BNF,Python,mixed,generated,all,[empty],MIT License
PlyPlus,LALR(1),EBNF,Python,separate,generated,all,[empty],MIT License
PRECC,LL(k),?,C,separate,generated,DOS  POSIX,[empty],GNU GPL
QLALR,LALR(1),?,C++,mixed,external,all,[empty],GNU GPL
RPATK,Recursive descent  Backtracking,BNF,C (no generation  library),separate,none,all,[empty],GNU GPL
SableCC,LALR(1),?,C  C++  C#  Java  OCaml  Python,separate,generated,all,[empty],GNU LGPL
SLK,LL(k) LR(k) LALR(k),EBNF,C  C++  C#  Java  JavaScript,separate,external,all,[empty],MIT-like
SP (Simple Parser),Recursive descent,Python,Python,separate,generated,all,[empty],GNU LGPL
Spirit,Recursive descent,?,C++,mixed,internal,all,[empty],Boost
Sprache,LL  Backtracking,C#,interpreted,mixed,internal,.NET Framework,[empty],MIT
Styx,LALR(1),?,C  C++,separate,generated,all,[empty],GNU LGPL
Sweet Parser,LALR(1),?,C++,separate,generated,Microsoft Windows,[empty],zlib
Tap,LL(1),?,C++,mixed,generated,all,[empty],GNU GPL
TextTransformer,LL(k),?,C++,mixed,generated,Microsoft Windows,[empty],Proprietary
TinyPG,LL(1),?,C#  Visual Basic,?,?,Microsoft Windows,[empty],CPOL 1.0
