Name,HDR input (EXR  HDR  Logluv  etc.),Merging to HDR from LDR images,HDR output (EXR  HDR  Logluv  etc.),Tonemapping,Exposure fusion,Notes
Panoweaver Standard / Professional<ref>Panoweaver features page</ref>,,,,,,
i2Align Quickage Express / Pro<ref>i2Align online help</ref>,,*,*,,,*) Pro version only.
Pixtra PanoStitcher,,,,,,
Pixtra OmniStitcher,,,,,,
QuickPHOTO<ref>HDR module for QuickPHOTO microscope software</ref>,,,,,,
PhotoFit Harmony / Premium,,,,,,
PanoramaPlus X4,,,,,,
PanoramaBuilder 7.0 / PanoramaBuilder 7.0 Pro,,,,,,
360 Panorama Professional,,,,,,
VRstitcher Fisheye Pro,,,,,,
COOL 360,,,,,,
The Panorama Factory v5,,,,,
PixMaker Lite / Home / Business,,,,,,
PTAssembler,,,,,,Exposure fusion with TuFuse or enfuse. Automatic detection of image stacks.
PTgui / PTgui Pro,*,*,*,*,*,Exposure fusion with enfuse or TuFuse. *) Pro version only.
Autopano Pro / Giga / Server,,,,,,Ceased trading September 2018
Autostitch,,,,,,
Calico Panorama,,,,,,
Hugin,,,,,,Exposure fusion with enfuse  automatic detection of image stacks.
3DVista Stitcher 3.0,,,,,,
D Joiner,,,,,,
Panorama Maker 6,,,,,,
Photovista Panorama,,,,,,
PanoramaStudio,,,,,,
Stitcher Unlimited 2009<ref>Stitcher Unlimited 2009 FAQ </ref>,,,,,,
ADG Panorama Tools / Pro,,,,,,
Panorama Composer 3,,,,,,
Image Composite Editor,,,,,,Supports 16-bit camera raw input via WIC plugins
Panorama Perfect,,,,,,
Photoshop,,,,,,
AIPR Lite 1,,,,*,,(*) color mapping around the seams allows to preserve the original photometric properties of the images
Gigapan Stitch 1.0,,,,,,
PanoramaMaker,,,,,,
Panorama Stitcher,,,,,,
SharpStitch,,,,,,
Pano2VR / Pano2VR pro,,,,,,
Name,HDR input (EXR  HDR  Logluv  etc.),Merging to HDR from LDR images,HDR output (EXR  HDR  Logluv  etc.),Tonemapping,Exposure fusion,Notes
