Name,Guest OS SMP available,Runs arbitrary OS,Supported guest OS drivers,Method of operation,Typical use,Speed relative to host OS,Commercial support available
Containers  or Zones,, over 500-way on current systems,[empty],Uses native device drivers,Operating system-level virtualization,Server consolidation with workload isolation  single workload containment  hosting  dev/test/prod,Near native,[empty]
Hyper-V Server 2008 R2,, up to 4 VCPUs per VM,[empty],[empty],Virtualization,Server consolidation  service continuity  dev/test  desktop virtualization  cloud computing,Up to near native,[empty]
OpenVZ,[empty],[empty],Compatible,Operating system-level virtualization,Virtualized server isolation,Up to near native,[empty]
KVM,<ref name="linux-kvm mainpage" />,[empty],[empty],AMD-V and Intel-VT-x,Virtualized server isolation  server/desktop consolidation  software development  cloud computing  other purposes,Up to near native,<ref name="KVM" />
Linux-VServer,[empty],[empty],Compatible,Operating system-level virtualization,Virtualized server isolation and security  server consolidation  cloud computing,Up to near native,[empty]
Oracle VM Server for x86,[empty],[empty],[empty],Paravirtualization and hardware virtualization,Server consolidation and security  enterprise and business deployment,Up to near native,[empty]
Oracle VM Server for SPARC (LDoms),[empty],, but needs porting<ref name="Logical Domains" />,[empty],Paravirtualization and hardware virtualization,Server consolidation and security  enterprise and business deployment,Up to near native,[empty]
OVPsim,[empty],[empty],[empty],Full system simulation with optional component virtualization,Software development (early  embedded)  advanced debug for single and multicore software  compiler and other tool development  computer architecture research  hobbyist,Depends on target architecture (full and slow hardware emulation for guests incompatible with host),, with commercial license from Imperas<ref name="imperas" />
PikeOS,[empty],, but modifications required as paravirtualization is used,[empty],Paravirtualization,Safety and security critical embedded systems.,Up to near native,[empty]
ScaleMP vSMP Foundation,, up to 8.192 CPUs and 64 TB per VM,[empty],[empty],Virtualization,Server consolidation  Cloud computing,?,[empty]
Simics,[empty],[empty],[empty],Full system simulation of processors  MMUs  devices  disks  memories  networks  etc.,Software development  advanced debug for single and multicore software  compiler and other tool development  computer architecture research  bug transportation  automated testing  system architecture  long-term support of safety-critical systems  early hardware availability  virtual prototyping,Depends on host machine and target architecture. Runs at near-native speeds for x86-on-x86 using VT-x  cross-simulation of other architectures can be faster or slower than real-time depending on how fast the target is and how big the target is (number of processors  number of target machines  and how much the simulation can be parallelized),[empty]
Sun xVM Server,[empty],[empty],[empty],Paravirtualization and porting or hardware virtualization,Servers  Development,Up to near native,Yes
SVISTA 2004,[empty],[empty],[empty],[empty],Hobbyist  Developer  Business workstation,[empty],[empty]
TRANGO,[empty],[empty],[empty],Paravirtualization and porting or hardware virtualization,Mob. phone  STB  routers  etc.,Near native,[empty]
User Mode Linux,[empty],[empty],special guest kernel+modules required,Porting,Developer (as a separate machine for a server or with X11 networking),Non-significantly slower than native (all calls to kernel are proxied),[empty]
OKL4 Microvisor,[empty],, (either with para-virtualization or HW virtualization),[empty],Paravirtualization  Hardware assisted virtualization,Mobile  embedded  security  safety critical  networking  legacy OS  etc.,Near native,[empty]
Oracle VirtualBox,[empty],[empty],[empty],Virtualization,Business workstation  server consolidation  service continuity  developer  hobbyist,Up to near native,(with commercial license)
Virtual Iron 3.1,, up to 8 way,[empty],[empty],Native virtualization,Server consolidation  service continuity  dev/test,?,[empty]
Virtual PC 2007,[empty],[empty],[empty],Virtualization  guest calls trapping where supported,Hobbyist  Developer  Business workstation,Up to near native with virtual machine additions,[empty]
Windows Virtual PC,[empty],[empty],[empty],Hardware virtualization,Developer  Business workstation  support for Compatibility with Windows XP applications,Up to near native with virtual machine additions,[empty]
Virtual PC 7 for Mac,[empty],[empty],[empty],dynamic recompilation (guest calls trapping where supported),Hobbyist  Developer  Business workstation,Slow,[empty]
Virtual Server 2005 R2,[empty],[empty],[empty],Virtualization (guest calls trapping where supported),Server  server farm,Up to near native with virtual machine additions but slower than with hypervisor due to proxied calls,[empty]
CoWare Virtual Platform,[empty],[empty],( Same compiled Software image as for the real device),Full-system virtualization (Processor Core ISA + Hardware + External connections),Early embedded software development and integration (from driver to application)  Multi-core software debugging and optimization,Depending on the system characteristics and the software itself  ranges from faster than real time to slow.,[empty]
