Product,Manufacturer,Web browser,Wireless synching,Ad hoc,On-demand,Web radio/TV
Archos 5  7,Archos,,,,,
Archos 604 WiFi  704 WiFi,Archos,,file browsing,,,
Archos 605 WiFi  705 WiFi,Archos,,file browsing,,Content Portals,
Archos PMA400,Archos,,via FTP,,,
Cowon Q5W,Cowon,,,,,
Ibiza Rhapsody,Haier,,,,,radio only
iPod Touch,Apple Inc.,,,,,
Samsung Galaxy Player,Samsung,,,,,
Sansa Connect,SanDisk,,,,,
Sony PSP,Sony,,,,,
Sony Walkman X Series,Sony,,,,,
ZEN X-Fi,Creative,,,,,
Zune 4  8,Microsoft,,,,,
Zune 30,Microsoft,,,,,
Zune 80  120,Microsoft,,,,,
Zune HD,Microsoft,,,,,
