Format,Languages
name'['first':'last']',ALGOL 68 <ref name="s1"/> Julia
name'['first'+(⍳'len')-⎕IO]',APL
name'['first':'end':'step']',Python <ref name="s2"/><ref name="s4"/> Go
name'['first'..'last']',Pascal  Object Pascal  Delphi
$name'['first'..'last']',Windows PowerShell
@name'['first'..'last']',Perl<ref name="s3"/>
name'['first'..'last']' <br />name'['first'...'end']' <br />name'['first'  'len']',Ruby<ref name="s4"/>
name'('first'..'last')',Ada<ref name="s1"/>
name'('first':'last')',Fortran <ref name="s1"/><ref name="s2"/> GNU Octave  MATLAB<ref name="s1"/><ref name="s3"/>
name'''''',Mathematica <ref name="s1"/><ref name="s2"/><ref name="s4"/> Wolfram Language
name'''''',S-Lang<ref name="s1"/><ref name="s2"/><ref name="s3"/>
name'.['first'..'last']',F#
name'.slice('first'  'end')',Haxe  JavaScript  Scala
name'.slice('first'  'len')',CFML
array_slice(name'  'first'  'len')',PHP<ref name="s4"/>
(subseq name first end')',Common Lisp
(subseq name first end')',ISLISP
Array.sub name first len,OCaml
[name' subarrayWithRange:NSMakeRange('first'  'len')]',Objective-C (NSArray * only)
(first'([+i.@(-~)'end'){'name,J
name'['first'..<'end']' <br />name'['first'...'last']',Swift
name copyFrom: first to:last <br />name copyFrom: first count:len,Smalltalk
name'['first'..'end']',D
name'['first'..'end']' name'['first'..='last']',Rust
name'['first':'end']',Cobra
