Format,Languages
LCase(string),VB
lcase(string),FreeBASIC
lc(string),Perl 5 / Perl 6
string.lc,Perl 6
tolower(char),C<ref>operates on one character</ref>
std.string.toLower(string),D
transform(string.begin()  string.end()  result.begin()  ::tolower)<ref name="cpptransform">The transform function exists in the std:: namespace. You must include the <algorithm> header file to use it. The tolower and toupper functions are in the global namespace  obtained by the <ctype.h> header file. The std::tolower and std::toupper names are overloaded and cannot be passed to std::transform without a cast to resolve a function overloading ambiguity  e.g. std::transform(string.begin()  string.end()  result.begin()  (int (*)(int))std::tolower);</ref>,C++<ref>std::string only  result is stored in string result which is at least as long as string  and may or may not be string itself</ref>
lowercase(string),Object Pascal (Delphi)
strtolower(string),PHP
lower(string),Seed7
echo "string" | tr 'A-Z' 'a-z',Unix
string.lower(),Python
downcase(string),Pick Basic
string.downcase,Ruby<ref name="ReferenceC">only ASCII characters as Ruby lacks Unicode support</ref>
strings.ToLower(string),Go
(string-downcase string),Scheme (R6RS)  Common Lisp
(lower-case string),Clojure
String.lowercase string,OCaml
String.map Char.toLower string,Standard ML
map Char.toLower string,Haskell
string.toLowerCase(),Java  JavaScript
to_lower(string),Erlang
string.ToLower(),VB .NET  C#  Windows PowerShell  F#
string.lowercaseString,Objective-C (NSString * only)  Swift (Foundation)
string.lower(string) <br /> (string):lower(),Lua
string asLowercase,Smalltalk
LOWER(string),SQL
lowercase(string),PL/I<ref name="lower1" />
ToLowerCase[string],Mathematica
«FUNCTION» LOWER-CASE(string),COBOL
string.toLower,Cobra
string tolower string,Tcl
