Software,Web-based,Hosted On-Premises,SaaS,License,Programming language
2-plan,<ref name="PMI Italy" />,,,Proprietary  Open source<ref name="2-plan license" />,Java and PHP
24SevenOffice,,,,,
Actionspace,,,,,
AnyChart (AnyGantt),,,,,JavaScript
Apache Allura,,,,,Python
Apache OFBiz,,,,,Java  XML  FreeMarker  Groovy  JavaScript
Apache Bloodhound,,,,,Python
Asana,,,,,
Assembla,,,,,
Axosoft,,,,,
Basecamp,<ref name="Teambox_RWW" />,<ref></ref>,,,Ruby
CEITON,,,,,ASP.NET  JavaScript
Clarizen,<ref name="pcworld" />,,<ref name="pcworld" />,,
Collabtive,,,,Open source (core only),PHP
Compuware Changepoint,,,,,
ConceptDraw Project,,,,,
ConceptDraw PLAN,,,,,PHP and Java
Concerto Project Management,,,,,
Calligra Plan,,,,,C++ and Java
Copper Project,,,,,
dotProject,,,,,PHP
DynaRoad,,,,,
Easy projects,<ref name="VentureBeatEP" />,<ref name="VentureBeatEP" />,<ref name="VentureBeatEP" />,,ASP.NET
Eclipse PPM software,,,,,
Endeavour Software Project Management,,,,,Java
eGroupWare,,,,,PHP
enQuire,,,,,Java
FastTrack Schedule,,,,,
Feng Office Community Edition,,,,,PHP
FinancialForce.com,,,,,
FogBugz,,,,,ASP.NET
Fossil-scm,<ref name="FossilOnWeb" />,<ref name="FossilOnPremises" />,<ref name="FossilSaaS" />,,SQLite and C
Freedcamp,,,,,
FusionForge,,,,,PHP
GanttProject,,,,,Java
Genius Project,,,,,
Group-Office,,,,,
Groupiful,,,,,PHP
GroveSite,,,,,
Hall.com,,,,,
Helix ALM,,,,,C++
HeySpace,,,,,JavaScript
HP Project & Portfolio Software,,,,
Huddle,,,,,
Hyperoffice,,,,,
iManageProject,,,,,
InLoox,,,,,
in-Step BLUE,,,,,
IRise,,,,,Java
Jira,,,,,Java
Launchpad,,,,,Python
LibrePlan,,,,,Java
LiquidPlanner,,,,,Ruby
LisaProject,,,,,
MacProject,,,,,
MantisBT,,,,,PHP
Métier,,,,,
Microsoft Dynamics AX,,,,,X++
Microsoft Office Project Server,,,,,
Microsoft Project,,,,,
Microsoft SharePoint Server,,,,,
Microsoft Team Foundation Server,,,,,
Milestones Professional,,,,,C++
Mingle,,,,,Ruby on Rails
NetPoint,,,,,
NetSuite,,,,,
MyWorkPLAN,,,,,
O3Spaces,,,,,
OmniPlan,,,,,
Onepager pro,,,,,ASP.NET
Open Workbench,,,,Open source,
OpenProj,,,,,Java
OpenProject,,,,,Ruby on Rails and AngularJS
OnlyOffice,,,,,ASP.NET
Oracle Primavera EPPM (Primavera P6),,,,,
phpGroupWare,,,,,PHP
PHProjekt,,,,,PHP
Pivotal Tracker,,,,,Ruby
Plandora,,,,,Java
Planisware,,,,,
PLANTA Project,,,,,
Project Builder,,,,,
Project KickStart,,,,,
Project Team Builder,,,,,
Projector PSA,,,,,
ProjectLibre,(Cloud based version under development)<ref name = devel2></ref>,,(Included in future plans)<ref></ref>,,Java
ProjectManager.com,<ref name="projectmanager" />,,,,
Project.net,,,,,Java
Projectplace,,,,,
Projektron BCS,,,,,Java
ProjeQtOr,,,,,PHP
Proliance,,,,,
ProjectLink,,,,,
Prolog,,,,,
Priority Matrix,,,,
Pyrus,,,,,
RationalPlan,,,,,
Realisor,,,,,
Redbooth,<ref name="teambox1" />,,<ref name="teambox1" />,;<ref name="teambox2" /> Proprietary (version 4),Ruby on Rails
Redmine,,,<ref name="RedmineSaas" /><ref name="RedmineSaas2" /><ref name="Peygir" />,,Ruby
Rillsoft Project & Integration Server,,,,,C++ and PHP
RiskyProject,,,,,
SAP Business ByDesign,,,,,
Sciforma,,,,,
Scoro,,,,,PHP<ref></ref>
Seavus Project Viewer (software),,,,,C++
Severa,,,,,
Smartsheet,,,,,PHP
Spider Project,,,,
Streamtime Software,,,,,PHP
TACTIC,,,,,Python
Talygen,,,,,ASP.NET
TaskJuggler,,,,,Ruby
Teamcenter,,,,,
TeamDynamixHE,,,,,
Teamwork.com,,,,,
The Bug Genie,,,,,PHP
Tom's Planner,,,,,
Trac,,,,,Python
TrackerSuite.Net,,,,,
Traction TeamPage,,,,,Java
Trello,,,,,JavaScript
Triskell,,,,,Java
Tuleap,,,,,
Twproject,,,,,
UniPhi,,,,,ASP.NET
Vpmi,,,,,
web2project,,,,,PHP
Workamajig,,,,,
Workfront,<ref name="Dynamicwp" />,,,,
WorkPLAN Enterprise,,,,,
workspace.com,,,,,
Wrike,,,,
Zoho Projects,,,,,PHP
