[empty],Scanner support,Freehand sketch,Raster filters,Change color depth,Image resize,Rotate,Crop,Raster shapes
Easy Trace,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
FreeHand,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Graphic Tracer Professional,[empty],[empty],N/A,N/A,[empty],[empty],[empty],N/A
Illustrator,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Potrace,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ImageTracer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Scan2CAD,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
WinTopo Pro,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
[empty],Scanner Support,Freehand sketch,Raster Filters,Change color depth,Image resize,Rotate,Crop,Raster Shapes
[added],[added],[added],[added],[added],[added],[added],[added],[added]
