,sRGB,Adobe RGB,Indexed,Grayscale,CMYK,LAB,HSV
Ability Photopaint,,,,,,,
ACD Canvas,,,,,,,
ACDSee (Win),,,,,,,
Acorn Image Editor,,,,,,,
Adobe Fireworks*,,,,,,,
Adobe Photoshop,,,,,,,
Adobe Photoshop Lightroom,,,,,,,
Affinity Photo,,,,,,,
Autodesk SketchBook Pro,,,,,,,
Artipic,,,,,,,
ArtRage,,,,,,,
Artweaver,,,,,,,
Bibble*,,,,,,,
Brush Strokes Image Editor,,,,,,,
Capture One,,,,,,,
Chasys Draw IES,,,,,,,
CinePaint,,,,,,,
CodedColor PhotoStudio Pro,,,,,,,
Corel PaintShop Pro,,,,,,<ref name="sp" />,<ref name="sp">Split to channels</ref>
Corel Painter,,,,,,,
Corel Photo-Paint,,,,,,,
darktable,,,,,,,
Deluxe Paint*,,,,,,,
Erdas Imagine,,,,,,,
Fatpaint,,,,,,,
Fotografix,,,,,,,
GIMP,,,,,<ref name="gimp_cmyk" />,<ref name="sp" />,
GIMPshop,,,,,<ref name="gimp_cmyk">Via the Separate+ plug-in</ref>,,
GrafX2,,,,,,,
GraphicConverter,,,,,,,
Helicon Filter,,,,,,,
iPhoto*,,,,,,,
IrfanView,,,,,,,
Iridient Developer,,,,,,,
Kolourpaint,,,,,,,
Krita,,,,,,,
MacPaint*,,,,,,,
Microsoft Office Picture Manager*,,,,,,,
Microsoft Paint,,,,,,,
Microsoft Photo Editor*,,,,,,,
OpenCanvas,,,,,,,
Paint.NET,,,,,,,
PC Paintbrush*,,,,,,,
Photofinish*,,,,,,,
Photogenics,,,,,,,
PhotoLine,,,,,,,
PhotoPerfect*,,,,,,,
Photos,,,,,,,
Photo Raster,,,,,,,
Picasa*,,,,,,,
PicMaster,,,,,,,
PixBuilder Photo Editor,,,,,,,
Pixelmator,,,,,,,
Pixia,,,,,,,
Project Dogwaffle,,,,,,,
QFX,,,,,,,
RawTherapee,,,,,,,
Seashore,,,,,,,
Serif PhotoPlus,,,,,,,
Tux Paint,,,,,,,
TVPaint,,,,,,,
Ulead PhotoImpact*,,,,,,,
Ultimate Paint*,,,,,,,
WinImages,,,,,,,
Xara Photo & Graphic Designer,,,,,,,
XnView,,,,,,,
XPaint,,,,,,,
Zoner Photo Studio,,,,,,,
