[empty],RAW imports,BMP,GIF,JPEG,JPEG 2000,HD Photo,PNG,TIFF,PSD,PSP,XCF,PCX,ORA,HEIF
Ability Photopaint,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ACD Canvas,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ACDSee (Win),[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Acorn Image Editor,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Adobe Fireworks*,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added],[added]
Adobe Photoshop,[empty],[empty],[empty],[empty],<ref name="ft_1">Photoshop requires an optional plug-in from the installation disc to support JPEG 2000.</ref>,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Adobe Photoshop Lightroom,[empty],[empty],<ref name="lr_p">Requires the Any File plug-in</ref>,[empty],<ref name="lightroom-plugins.com"></ref>,[empty],<ref name="lr_p" />,[empty],<ref name="ft_2">To import and work with a multi-layered PSD file in Lightroom  the file must be saved in Photoshop with the Maximize PSD and PSB File Compatibility preference turned on.</ref>,[empty],[empty],[empty],[empty],[empty]
Affinity Photo,[empty],?,[empty],[empty],[empty],?,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Autodesk SketchBook Pro,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Artipic,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ArtRage,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Artweaver,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Bibble*,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Brush Strokes Image Editor,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Capture One,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Chasys Draw IES,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
CinePaint,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
CodedColor PhotoStudio Pro,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Corel PaintShop Pro,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],<ref name="cpsp">No layer modes support</ref>,[empty],[empty],[empty],[empty],[empty]
Corel Painter,[empty],[empty],[empty],[empty],[empty],[empty],[empty],<ref name="ft_3">Corel Painter does not support TIFF with LZW compression.</ref>,[empty],[empty],[empty],Import,[empty],[empty]
Corel Photo-Paint,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
darktable,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Deluxe Paint*<ref name="ft_4">Deluxe Paint (and almost every other paint package) for versions 3.0 and later of AmigaOS can load and save any file format for which a datatype is registered on the system.</ref>,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
DigiKam,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Erdas Imagine,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Import,[empty],[empty]
Fatpaint,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Fotografix,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
GIMP,[empty],[empty],[empty],[empty],<ref>Native support added in version 2.8</ref>,<ref name="JPEG XR">Requires the JPEG XR plug-in</ref>,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
GIMPshop,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
GrafX2,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
GraphicConverter,<ref name="ft_5">Many RAW images can be imported  but are reduced to 8 bits per color channel.</ref>,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],<ref name="ft_6">GraphicConverter requires macOS or later with installed Image Magick application of the Fink package or any other distribution in order to support XCF.</ref>,[empty],[empty],[empty]
HDR PhotoStudio,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Helicon Filter,[empty],[empty],Import,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ImageMagick,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
iPhoto*,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
IrfanView,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added],[added]
Iridient Developer,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Kolourpaint,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Import,[empty],[empty],[empty]
Krita,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Import,[empty],[empty]
LiveQuartz,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
LazPaint,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
MacPaint*,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Microsoft Office Picture Manager*,[empty],[empty],[empty],[empty],[empty],[empty],[empty],<ref name="ft_8">Microsoft Office Picture Manager and Paint.NET only support TIFF for viewing and editing of the first page.</ref>,[empty],[empty],[empty],[empty],[empty],[empty]
Microsoft Paint,[empty],[empty],<ref name="MS Paint Transparency">MS Paint doesn't support transparency in GIF or PNG</ref>,[empty],[empty],[empty],<ref name="MS Paint Transparency"/>,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Microsoft Photo Editor*,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Import,[empty],[empty]
OpenCanvas,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],<ref name="ft_9">PSD is supported only in openCanvas 4 Plus  not regular openCanvas 4.</ref>,[empty],[empty],[empty],[empty],[empty]
Paint.NET,[empty],[empty],[empty],[empty],[empty],<ref name="ft_10">Paint.NET 3.08 supports import/export of images in HD Photo lossy & lossless format via a file-type plug-in based on a Microsoft HD Photo specification; it expires on September 1  2007 or if the Paint.NET version is 3.20 or higher. The developers hope tentatively plan to implement full HD Photo support by version 3.20.</ref>,[empty],<ref name="ft_11">The free plug-ins needed for JPEG 2000  PSD  and XCF support can be found on Paint.NET's website .</ref>,[empty],[empty],[empty],[empty],[empty],[empty]
