Software,Developer,First public release,Latest stable release date,Latest stable version,Cost (USD),Free software,License,Notes
Aigaion,Aigaion developers,2005-01,2013-05-08,2.2,[empty],[empty],[empty],web-based (Apache  PHP  MySQL)
Bebop,ALaRI Institute,2007-11-08,2009-11-10,1.1,[empty],[empty],[empty],web-based BibTeX front-end (Apache  PHP  MySQL)
BibBase,Christian Fritz,2005,2013-07,v3,[empty],[empty],[empty],centrally hosted website  intended for publication pages
BibDesk,BibDesk developers,2002-04,2018-12-10,1.6.20,[empty],[empty],[empty],BibTeX front-end + repository; Cocoa-based; integration with Spotlight
Biblioscape,CG Information,1997,2015-06-22,10.0.3.6,[empty],[empty],[empty],ODBC; web access in Pro ed; optional client/server; discontinued?
BibSonomy,University of Kassel,2006-01,2018-07-30,3.8.13,[empty],[empty],</ref>}},centrally hosted website
Bibus,Bibus developers,2004-06-03,2013-05-23,1.5.1,[empty],[empty],[empty],discontinued?
Bookends,Sonny Software,1988 (Mac) / 1983 (Apple II+),2018-05-12,13.0.9 <ref></ref>,[empty],[empty],[empty],integrated web search  pdf download  auto-completion
Citavi,Swiss Academic Software,2006-02-13,2019-01-10,6.3,[empty],[empty],[empty],data can be saved locally on the computer  or  for team access  in the Citavi Cloud or an intranet Microsoft SQL Server;<ref></ref> search databases from interface<ref></ref>
CiteULike,Oversity Limited,2004-11,[empty],[empty],[empty],[empty],[empty],centrally hosted website
colwiz,colwiz Ltd,2011,2016-05-09,[empty],[empty],[empty],[empty],Desktop (Win  Mac  Linux) & Web components  iOS and Android
EndNote,Clarivate Analytics,1988,2018-01-09,X9,[empty],[empty],[empty],The web version EndNote basic (formerly  EndNote Web) is free of charge
F1000Workspace,F1000/Science Navigation Group,2015-05,Continually updated online,[empty],[empty],[empty],[empty],Web-based  Microsoft Word plug-in (Win  Mac)  Google Docs add-on  browser extension(s) Chrome  Firefox  Safari  Opera  Internet Explorer 11  mobile app available
I  Librarian,Scilico  LLC,2015-03-15,2018-04-10,4.10,[empty],[empty],GNU GPLv3,web-based with support for local hosting (Apache  PHP  SQLite)
JabRef,JabRef developers,2003-11-29,2018-06-05,4.3.1,[empty],[empty],MIT license,Java BibTeX and BibLaTeX manager
KBibTeX,KBibTeX developers,2005-08,2018-06-21,0.8.1,[empty],[empty],[empty],BibTeX front-end  using the KDE Software Compilation
Mendeley,Elsevier,2008-08,2018,1.18,[empty],[empty],[empty],Account required  Desktop & Web components  Windows  Linux  OS X  iPhone & iPad  Android
Paperpile,Stefan Washietl  Gregorgy Jordan  Andreas Gruber,2013,Continually updated online,[empty],[empty],[empty],[empty],web-application  integrates with Google Docs  collaboration & sharing features  currently only on Google Chrome
Papers,Labtiva,2007,2016-05-11,3.4.5,[empty],[empty],[empty],search repositories from interface; supports plug-ins  Universal iOS app
Pybliographer,pybliographer developers,1998-10-30 (0.2),2018-04-03,1.4.0,[empty],[empty],[empty],Python/GTK2
Qiqqa,Qiqqa,2010-04,2016-09,v79,[empty],[empty],[empty],Desktop; Tablet; Web; Intranet
ReadCube,Labtiva,2011-10,2016-09-20,v2.22.13732,Free desktop & mobile app / Cloud Storage $5/month  $55/year,[empty],[empty],Desktop (Mac/PC) & Web components  personalized recommendations  private group sharing  integrated web search  enhanced PDF reader  iOS App  Android
refbase,refbase developers,2003-06-03,2014-02-28,0.9.6,[empty],[empty],[empty],web-based for institutional repositories/self-archiving<ref>A centrally-hosted website is available at refbase.net.</ref>
RefDB,refdb developers,2001-04-25,2007-11-05,0.9.9,[empty],[empty],[empty],network-transparent; XML/SGML bibliographies
Reference Manager,Thomson Reuters,1984,2010,12.0.3,[empty],[empty],[empty],network version; built-in web publishing tool; discontinued
Referencer,Referencer developers,2008-03-15,2014-02-27,1.2.2,[empty],[empty],[empty],BibTeX front-end
RefWorks,Ex Libris / ProQuest,2001,2018,3,[empty],[empty],[empty],web-based  browser-accessed  Word & Google Docs
RefME,RefME,2014,Shut down in 2017,[empty],[empty],[empty],[empty],Web  iOS and Android; Chrome and Safari Extensions available; discontinued
SciRef,Scientific Programs,2012,2015-07-26,1.5,38.90 / Free trial version,[empty],[empty],[empty]
Sente,Third Street Software  Inc.,2004,Shut down in 2017,6.7.9,/ Free for libraries up to 100 refs,[empty],[empty],Desktop and iPad  centralized backup/synching; discontinued
Wikindx,Mark Grimshaw,2004-02,2017-12,5.2.1,[empty],[empty],[empty],web-based
WizFolio,WizPatent,2008-06,Shut down in 2017,Avatara,/ Free Basic version,[empty],[empty],centrally hosted website; discontinued
Zotero,Roy Rosenzweig Center for History and New Media at GMU,2006,2018-12-18,5.0.59 <ref></ref>,[empty],[empty],[empty],Multi-platform desktop version with connectors for Firefox  Chrome and Safari. Web-based access to reference library also available.
