Software,BibTeX,Copac,CSA,Endnote/Refer/BibIX,ISI,Medline,MODS XML,Ovid,PubMed,RIS,SciFinder,Other
Aigaion,,,,,,,,,,,,
Bebop,,,,,,,,,,,,
BibBase,,,,,,,,,,,,
BibDesk,,,,,,,,,,,,
Biblioscape,,,,,,,,,,,,?
BibSonomy,,,,,,,,,,,,
Bibus,,,,,,,,,,,,
Bookends,,,,,,,,,,,,
Citavi,,,,,,,,,,,,
CiteULike,,,,,,,,,,,,
colwiz,,,,,,,,,,,,
EndNote,,,,,,,,,,,,</ref>}}
F1000Workspace,,,,,,,,,,,,
JabRef,,,,,,,,,,,,
KBibTeX,,,,,,,<ref name="bibutils"/>,,,,,
Mendeley,,,,,,,,,,,,
Paperpile,,,,,,,,,,,,
Papers,,,,,,,,,,,,
Pybliographer,,,,,,,,,,,,
Qiqqa,,,,,,,,,,,,
ReadCube,,,,,,,,,,,,
refbase,,,,,,,,,,,,
RefDB,,<ref name="bibutils"/>,,<ref name="bibutils"/>,<ref name="bibutils"/>,,,,,,<ref name="bibutils"/>,
Reference Manager,,,,,,,,,,,,</ref> user-customizable}}
Referencer,,,,,,,,,,,,
RefWorks,,,,,,,,,,,,</ref>}}
SciRef,,,,,,,,,,,,?
Sente,,,,,,,,,,,,
Wikindx,,<ref name="bibutils"/>,,,<ref name="bibutils"/>,,<ref name="bibutils"/>,,,,,
WizFolio,,,,,,,,,,,,</ref>}}
Zotero<ref name="zotero-supported-formats"></ref>,,<ref name="zotero-no-import">Zotero can import references directly from the database after which this format is named  although it cannot read the format itself.</ref>,<ref name="zotero-no-import"/>,,,,,,,,,, Endnote XML
