Software,APA,Chicago/Turabian,Harvard,MLA,Other,Extension method
Aigaion,,,,,,
Bebop,,,,,,
BibBase,,,,,,
BibDesk,,,,,,
Biblioscape,,,,,}},
BibSonomy,,,,,,
Bibus,,,,,,
Bookends,,,,,}},
Citavi,,,,,; any BibTeX style when used with LaTeX.,; BibTeX
CiteULike,,,,,}},
colwiz,,,,,,
EndNote,,,,,,
F1000Workspace,,,,,,
JabRef,,,,,,
KBibTeX,,,,,,
Mendeley,,,,,,
Paperpile,,,,,,
Papers,,,,,,
Pybliographer,,,,,,
Qiqqa,,,,,,
ReadCube,,,,,,
refbase,,,,,,
RefDB,,,,,,
Reference Manager,,,,,,
Referencer,,,,,,
RefWorks,,,,,,
SciRef,,,,,,
Sente,,,,,,
Wikindx,,,,,,
WizFolio,,,,,,
Zotero,,,,,,
