Software,HTML,LaTeX<ref>This refers to the direct output of raw LaTeX (often in a format similar to the BibTeX-generated .bbl files). Many programs can export BibTeX (see above table)  which can then be processed into LaTeX.</ref>,RTF,Plain text,RSS,Other
Aigaion,[empty],[empty],[empty],[empty],[empty],[empty]
Bebop,[empty],[empty],[empty],[empty],[empty],[empty]
BibBase,[empty],[empty],[empty],[empty],[empty],[empty]
BibDesk,[empty],[empty],[empty],[empty],[empty],[empty]
Biblioscape,[empty],[empty],[empty],[empty],[empty],[empty]
BibSonomy,[empty],[empty],[empty],[empty],[empty],[empty]
Bibus,[empty],[empty],[empty],[empty],[empty],[empty]
Bookends,[empty],[empty],[empty],[empty],[empty],[empty]
Citavi,[empty],<ref>Database can be exported as a whole in BibTeX format. Text (i.e. thoughts  comments  and quotations) can be fed into a number of TeX editors in LaTeX code or UTF-8 </ref>,[empty],[empty],[empty],[empty]
CiteULike,[empty],[empty],[empty],[empty],[empty],[empty]
colwiz,[empty],[empty],[empty],[empty],[empty],[empty]
EndNote,[empty],[empty],[empty],[empty],[empty],[empty]
F1000Workspace,[empty],[empty],[empty],[empty],[empty],[empty]
JabRef,[empty],[empty],[empty],[empty],[empty],[empty]
KBibTeX,[empty],[empty],[empty],[empty],[empty],[empty]
Mendeley,[empty],<ref>Database can be exported as a whole in BibTeX format.Insert citations via citation key generated by Mendeley  </ref>,[empty],[empty],[empty],[empty]
Paperpile,[empty],[empty],[empty],[empty],[empty],[empty]
Papers,[empty],[empty],[empty],[empty],[empty],[empty]
Pybliographer,[empty],[empty],[empty],[empty],[empty],[empty]
ReadCube,[empty],[empty],[empty],[empty],[empty],[empty]
refbase,[empty],[empty],[empty],[empty],[empty],[empty]
RefDB,[empty],[empty],[empty],[empty],[empty],[empty]
Reference Manager,[empty],[empty],[empty],[empty],[empty],[empty]
Referencer,[empty],[empty],[empty],[empty],[empty],[empty]
RefWorks,[empty],[empty],[empty],[empty],[empty],[empty]
SciRef,[empty],[empty],[empty],[empty],[empty],[empty]
Sente,[empty],[empty],[empty],[empty],[empty],[empty]
Wikindx,[empty],[empty],[empty],[empty],[empty],[empty]
WizFolio,[empty],[empty],[empty],[empty],[empty],[empty]
Zotero,[empty],<ref name=Better_BibTeX></ref>,[empty],<ref name=Zotero_plugins></ref>,[empty],[empty]
