,Native network encryption1,Brute-force protection,Enterprise directory compatibility,Password complexity rules2,Patch access3,Run unprivileged4,Audit,Resource limit,Separation of duties (RBAC)5,Security Certification,Attribute-Based Access Control (ABAC)
4D,(with SSL),,,,,,,,,,
Adaptive Server Enterprise,(optional; to pay),,(optional ?),,(need to register; depend on which product)<ref></ref>,,,,,(EAL4+ 1),
Advantage Database Server,,,,,,,,,,,
DB2,,,(LDAP  Kerberos…),,,,,,,(EAL4+6),
Empress Embedded Database,,,,,,,,,,,
EXASolution,,,(LDAP),,,,,,,,
Firebird,,<ref></ref>,(Windows trusted authenification),(by custom plugin),(no security page)<ref></ref>,,<ref></ref>,,7,,
HSQLDB,,,,,,,,,,,
H2,,,,,,,,,,,
Informix Dynamic Server,,,10,10,,,,,,,
Linter SQL RDBMS,(with SSL),,,(length only),,,,,,,
MariaDB,(SSL),,(with 5.2  but not on Windows servers),<ref name="mdb_cpc"></ref><ref name="mdb_spc"></ref>,<ref name="mdb_security"></ref>,,,,8,,
Microsoft SQL Server,,,(Microsoft Active Directory),,,,(From 2008),,,(EAL4+11),
Microsoft SQL Server Compact (Embedded Database),(not relevant  only file permissions),(not relevant),(not relevant),(not relevant),,(file access),,,,,
Mimer SQL,,,,,,,,,,,
MySQL,(SSL with 4.0),,(with 5.5  but only in commercial edition),,(no security page)<ref></ref>,,,,8,,
OpenBase SQL,,,(Open Directory  LDAP),,,,,,,,
OpenLink Virtuoso,,,,(optional),(optional),,(optional),(optional),,,(optional)
Oracle,,,,,,,,,,(EAL4+1),
Pervasive PSQL,,,,,,,12,,,,
Polyhedra DBMS,(with SSL. Optional),,,,,,13,,13,,
PostgreSQL,,(for 9.1),(LDAP  Kerberos…9),(as of 9.0 with passwordcheck module),<ref></ref>,,, with triggers<ref></ref>,,,(EAL11),
Raima Database Manager,,,,,,,,,,,
RDM Server,,,,,,,,,,,
SAP HANA,,,,,,,,,,,
solidDB,,,,,,,,,,,
SQL Anywhere,,,(Kerberos),,,,,,,(EAL3+1 as Adaptive Server Anywhere),
SQLite,(not relevant  only file permissions),(not relevant),(not relevant),(not relevant),(no security page)<ref></ref>,(file access),,,,,
Teradata,,,(LDAP  Kerberos…),,,,,,,,
,Native network encryption1,Brute-force protection,Enterprise directory compatibility,Password complexity rules2,Patch access3,Run unprivileged4,Audit,Resource limit,Separation of duties (RBAC)5,Security Certification,Attribute-Based Access Control (ABAC)
