[empty],Windows,macOS,Linux,BSD,UNIX,AmigaOS,z/OS,iOS,Android,OpenVMS
4th Dimension,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ADABAS,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Adaptive Server Enterprise,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Advantage Database Server,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Altibase,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Apache Derby,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ClustrixDB,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
CUBRID,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
DB2,[empty],(Express C),[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Empress Embedded Database,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
EXASolution,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
FileMaker,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Firebird,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],<ref>https://www.firebirdsql.org/en/firebird-3-0/</ref>,[empty]
HSQLDB,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
H2,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Informix Dynamic Server,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Ingres,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],<ref>http://docs.actian.com/ingres/11.0/index.html#page/Ing_Install%2FB._Installing_Ingres_on_OpenVMS.htm%23ww245951</ref>
InterBase,[empty],[empty],[empty],[empty],(Solaris),[empty],[empty],[empty],[empty],[empty]
Linter SQL RDBMS,[empty],[empty],[empty],[empty],[empty],[empty],Under Linux on z Systems,[empty],[empty],[empty]
LucidDB,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
MariaDB,[empty],<ref></ref>,[empty],[empty],[empty],[empty],[empty],[empty],<ref>https://play.google.com/store/apps/details?id=com.esminis.server.mariadb&hl=de MariaDB Android Version by Tautvydas Andrikys</ref>,[empty]
MaxDB,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Microsoft Access (JET),[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Microsoft Visual Foxpro,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Microsoft SQL Server,[empty],[empty],<ref>http://blogs.microsoft.com/blog/2016/03/07/announcing-sql-server-on-linux</ref>,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Microsoft SQL Server Compact (Embedded Database),[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Mimer SQL,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
MonetDB,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
MySQL,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],<ref>http://techotv.com/run-apache-mysql-php-http-web-server-android-os-phone-tablet/ Run Apache  Mysql  Php – Web server on Android mobile or Tablet</ref>,[empty]
Omnis Studio,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
OpenBase SQL,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
OpenEdge,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
OpenLink Virtuoso,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Oracle,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Oracle Rdb,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Pervasive PSQL,[empty],(OEM only),[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Polyhedra,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
PostgreSQL,[empty],[empty],[empty],[empty],[empty],(MorphOS)<ref>http://aminet.net/package/dev/gg/postgresql632-mos-bin</ref>,Under Linux on z Systems<ref>http://www.oss4zos.org/mediawiki/index.php?title=PostgreSQL#z.2FOS</ref>,[empty],[empty],[empty]
R:Base,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
