Database Name,ACID,Referential integrity,Transactions,Fine-grained locking,Multiversion concurrency control,Unicode,Interface,Type inference
4th Dimension,,,,,,,GUI & SQL,
ADABAS,,,,,,,proprietary direct call & SQL (via 3rd party),
Adaptive Server Enterprise,,,,,,,SQL,
Advantage Database Server,,,,(Row-level locking),,4,API & SQL,
Altibase,,,,(Row-level locking),,,API & GUI & SQL,
Apache Derby,,,,(Row-level locking) <ref>Derby Developer's Guide (10.14)>Lock granularity</ref>,,,SQL,
ClustrixDB,,,,,,,SQL,
CUBRID,,,,(Row-level locking),,,GUI & SQL,
DB2,,,,(Row-level locking)<ref>DB2 for Linux UNIX and Windows 9.7.0>Fundamentos de DB2>Performance tuning>Factors affecting performance>Application design>Concurrency issues>Isolation levels</ref>,,,GUI & SQL,
Empress Embedded Database,,,,,,,API & SQL,
EXASolution,,,,,,,API & GUI & SQL,
Firebird,,,,,,,API & SQL,
HSQLDB,,,,,,,SQL,
H2,,,,,<ref>http://www.h2database.com/html/advanced.html#mvcc</ref>,,SQL,
Informix Dynamic Server,,,,(Row-level locking),,,SQL  REST  and JSON,
Ingres,,,,,,,SQL & QUEL,
InterBase,,,,,,,SQL,
Linter SQL RDBMS,,,(Except for DDL),(Row-level locking),,,API & GUI & SQL,
LucidDB,,,,,,,SQL,
MariaDB,2,6,2 except for DDL<ref name="Transactional DDL in PostgreSQL">Transactional DDL in PostgreSQL: A Competitive Analysis</ref><ref name="Transactional DDL in MariaDB">Transactional DDL in MariaDB</ref>,(Row-level locking),,,SQL,
MaxDB,,,,,,,SQL,
Microsoft Access (JET),,,,,,,GUI & SQL,
Microsoft Visual FoxPro,,,,,,,GUI & SQL,
Microsoft SQL Server,,,,(Row-level locking)<ref>SQL Server Transaction Locking and Row Versioning Guide</ref>,,,GUI & SQL,
Microsoft SQL Server Compact (Embedded Database),,,,,,,GUI & SQL,
Mimer SQL,,,,(Optimistic locking),,,API & GUI & SQL,
MonetDB,,,,,,,SQL,
MySQL,2,3,2 except for DDL<ref name="Transactional DDL in PostgreSQL"/>,(Row-level locking)<ref>MySQL :: MySQL 5.6 Reference Manual :: 8.10.1 Internal Locking Methods</ref>,,,GUI 5 & SQL,
OpenBase SQL,,,,,,,GUI & SQL,
OpenEdge,,7,,(Row-level locking),,,GUI & SQL,
OpenLink Virtuoso,,,,,,,API & GUI & SQL,
Oracle,,,except for DDL<ref name="Transactional DDL in PostgreSQL" />,(Row-level locking)<ref>Oracle Row Lock and Row Level Locking</ref>,,,API & GUI & SQL,
Oracle Rdb,,,,,,,SQL,
Pervasive PSQL,,,,,,6,API & GUI & SQL,
Polyhedra DBMS,,,,(optimistic and pessimistic cell-level locking)<ref>[developer.polyhedra.com/history/polyhedra-8-7 Polyhedra 8.7 new headline feature: locking]</ref>,,,API & SQL,
PostgreSQL,,,,(Row-level locking)<ref>PostgreSQL: Documentation: devel: Explicit Locking</ref>,,,API & GUI & SQL,<ref>BUG #5974: UNION construct type cast gives poor error message</ref>
Raima Database Manager,,,,,,,SQL & API,
RDM Server,,,,,,,SQL & API,
SAP HANA,,,,(Row-level locking),,,API & GUI & SQL,
solidDB,,,,(Row-level locking),,,API & SQL,
SQL Anywhere,,,,,,,SQL,
SQLBase,,,,,,,API & GUI & SQL,
SQLite,,,,(Database-level locking)<ref>File Locking And Concurrency In SQLite Version 3</ref>,,<ref>SQLite Full Unicode support is optional and not installed by default in most systems (like Android  Debian…)</ref>,API & SQL,
Teradata,,,,(Hash and Partition),,,SQL,
Tibero,,,,(Row-level locking),,,API & GUI & SQL,
UniData,,,,,,,Multiple,
UniVerse,,,,,,,Multiple,
Database Name,ACID,Referential integrity,Transactions,Fine-grained locking,Multiversion concurrency control,Unicode,Interface,Type inference
