+Biblometrics
Research Networking Tool,h-index,Citation count,Altmetrics,SNIP and SJR,Journal Impact Factor*,Other,Comment
Academic Room,,,,,,,
Activity Insight,,,,,,,
C-IKNOW,,,,,,,
PROFILES by Mentis® (formerly Collaborative Partnership / Profile System),,,,,,,
Community Academic Profiles - CAP,,,,,,,
InCites,,,Can integrate with altmetric data feed,,,,
CurvitaTM Profile Manager,,,,,,,
CUSP - Columbia University Scientific Profiles,,,,,,,
Digital Vita,,,,,,,
Elsevier's Pure (integrated with SciVal),,,Altmetric and PlumX,,,Field-weighted Citation Impact  Number of Authors  CiteScore,,
Elsevier's SciVal,,,Views data from ScienceDirect and Scopus,,,20+ indicators ranging from h  g & m indices  to Publications in Top Journal Percentiles  Field-Weighted Citation Impact  Academic-Corporate Collaboration Impact & Views per Publication,
Epernicus Solutions & Epernicus Network,,,,,,,
ERIM Member Profile System (ERIM MIS),,,,,,,
EUREKA!TM Enhancing Student Research,,,,,,,
Expertise @ Maryland,,,,,,,
Faculty Profile System,,,,,,,
Faculty Research Information Profile (FRIP),,,,,,,
Faculty Scholarly Productivity Index,,,,,,,
GENIUS,,,,,,,
Google Scholar,,,,,,,
HUBzero,,,,,,,
iamResearcher,,,,,,,
iAMscientist,,,,,,,
i2iConnect,,,,,,,
InCites,,,Recorded Future partnership provides customized newsfeed and instition activity from web content,,,,
INDURE,,,,,,,
LatticeGrid,,,,,,,
Lattes Database,,,,,,,
LinkedIn,,,None,,,,
Life Science Network,,,(views counts  recommendations  rating scores calculated from anonymous and non-anonymous contributions),,(but journals can be entered into the database and their IF indicated),,
Loki,,,,,,,
Lyterati,,,,,,,
McCormick Collaboration Visualization Tool,,,,,,,
MizzouLinks,,,,,,,
MyScienceWork,,,,,,,
OSU:pro,,,,,,,
Pivot,,,,,,,
Profiles,,,,,,,
ReachNC,,,,,,,
Research Accelerator,,,,,,,
ResearcherID,,,,,,,
SciENcv,,,,,,,
Symplectic Elements,,,,,,,
VIVO,,,,,,,
Yaffle,,,,,,,
